candidate_pid,kocc10,hub_reference
P_108150,8,0.867500
P_108182,12,0.848563
P_108218,3,0.839707
P_108237,12,0.860818
P_108259,7,0.875231
P_108282,5,0.838058
P_108286,11,0.860558
P_108327,8,0.856351
P_108364,4,0.873704
P_108372,4,0.865399
P_108376,6,0.893415
P_10838,5,0.894720
P_108434,13,0.851789
P_108449,9,0.876395
P_108458,7,0.873569
P_10846,22,0.860520
P_108465,11,0.876945
P_108473,12,0.867315
P_108475,9,0.876695
P_10848,16,0.879773
P_10849,3,0.878601
P_108509,6,0.893253
P_108518,11,0.817892
P_108526,5,0.852909
P_108548,5,0.866455
P_108588,2,0.894592
P_108686,9,0.850382
P_108687,6,0.854400
P_108690,12,0.827686
P_108692,14,0.829821
P_108693,14,0.876636
P_108694,17,0.855291
P_108697,21,0.858926
P_108698,15,0.861842
P_108700,20,0.869622
P_108752,8,0.842889
P_10886,5,0.853489
P_108867,8,0.891784
P_108939,8,0.869186
P_108951,14,0.852170
P_10901,20,0.867280
P_10902,12,0.857202
P_10905,12,0.837432
P_10907,10,0.856245
P_109089,8,0.878531
P_109122,6,0.839953
P_109124,7,0.848737
P_10913,7,0.860846
P_109138,4,0.840430
P_10914,10,0.854556
P_109217,11,0.879955
P_10932,7,0.900196
P_109324,7,0.898440
P_109377,5,0.884898
P_109386,7,0.882786
P_109435,8,0.843460
P_109440,8,0.880449
P_109597,3,0.858635
P_10963,8,0.876698
P_10964,6,0.885974
P_109642,9,0.879055
P_109643,9,0.887136
P_109644,3,0.879794
P_109646,16,0.876510
P_109985,5,0.881159
P_110044,1,0.881499
P_11006,6,0.871481
P_110106,13,0.881270
P_110123,20,0.864372
P_110124,18,0.855224
P_110128,16,0.840952
P_110134,9,0.848875
P_11014,11,0.859456
P_110161,5,0.859044
P_110170,3,0.871392
P_110236,14,0.872206
P_110254,6,0.865296
P_110279,16,0.840958
P_110345,8,0.873374
P_110384,10,0.850981
P_110437,14,0.871985
P_11045,9,0.872748
P_11048,16,0.850945
P_11051,8,0.879210
P_11054,8,0.880738
P_110549,8,0.884738
P_11067,5,0.896510
P_110726,8,0.841836
P_110727,8,0.865085
P_110791,9,0.875500
P_1108,11,0.880503
P_1109,12,0.852662
P_110919,6,0.866219
P_110932,7,0.846173
P_110956,10,0.873347
P_11096,5,0.893791
P_110964,4,0.876196
P_110965,10,0.869046
P_111009,13,0.851599
P_111106,5,0.864360
P_111108,12,0.861397
P_111226,7,0.837505
P_111338,12,0.834548
P_111341,5,0.853578
P_111343,17,0.834731
P_11143,9,0.894783
P_111432,10,0.896121
P_111607,10,0.878001
P_111666,10,0.884075
P_111674,13,0.874830
P_111734,13,0.866045
P_111747,0,0.886161
P_111763,3,0.873665
P_111787,8,0.854204
P_111822,2,0.874042
P_111909,9,0.815473
P_111932,21,0.830352
P_111944,11,0.844189
P_11197,13,0.852592
P_112043,4,0.833315
P_112044,12,0.815047
P_11215,17,0.864033
P_11221,7,0.876279
P_112288,6,0.777830
P_112319,8,0.886899
P_11235,13,0.872550
P_112416,7,0.868692
P_11242,7,0.883708
P_11243,9,0.862901
P_11246,12,0.880543
P_112482,8,0.851291
P_11249,21,0.876305
P_112523,10,0.849011
P_112559,6,0.883439
P_112560,5,0.868177
P_112580,11,0.884501
P_112613,5,0.893361
P_112686,17,0.838305
P_11275,10,0.876202
P_112944,11,0.843006
P_113059,6,0.863802
P_113175,13,0.835723
P_113226,4,0.863212
P_113253,6,0.867434
P_11333,11,0.850431
P_11334,7,0.841119
P_113409,8,0.873672
P_113472,12,0.853401
P_113534,11,0.832345
P_11358,15,0.837512
P_113609,8,0.904830
P_11365,7,0.877615
P_11366,4,0.880912
P_113701,17,0.838549
P_113702,11,0.845613
P_113703,8,0.836368
P_113704,6,0.784467
P_113713,4,0.820398
P_113724,3,0.887817
P_113964,4,0.871947
P_113966,7,0.863075
P_113976,9,0.890884
P_114054,15,0.853586
P_114055,14,0.853236
P_114056,18,0.863626
P_114057,13,0.847731
P_114060,12,0.886406
P_114061,6,0.852087
P_114062,17,0.859202
P_114063,8,0.870603
P_114082,23,0.862784
P_11411,7,0.898905
P_114131,8,0.854349
P_114132,6,0.857287
P_114133,8,0.852664
P_114153,19,0.822512
P_114215,11,0.846754
P_114217,14,0.868484
P_114218,12,0.872781
P_114228,3,0.875589
P_1143,12,0.856227
P_114331,8,0.880252
P_114485,6,0.904458
P_114486,11,0.894014
P_114490,4,0.898195
P_114491,17,0.897083
P_114525,8,0.879103
P_114535,5,0.874801
P_114559,7,0.872278
P_114587,6,0.886421
P_114588,16,0.857707
P_114590,3,0.881129
P_114603,8,0.853061
P_114605,12,0.848197
P_114679,9,0.854540
P_114680,6,0.867698
P_114682,8,0.885410
P_11471,8,0.860751
P_11473,6,0.878739
P_11478,7,0.853748
P_11485,8,0.871493
P_11488,11,0.892102
P_114908,21,0.839300
P_114909,11,0.869047
P_114927,10,0.845575
P_114935,12,0.887302
P_115006,26,0.880280
P_115029,18,0.842997
P_115030,19,0.854526
P_115032,5,0.858105
P_115033,9,0.837155
P_115034,13,0.803386
P_115055,11,0.892977
P_115064,18,0.857472
P_115080,9,0.876552
P_115095,7,0.861146
P_115096,9,0.835206
P_115102,11,0.852281
P_115133,11,0.856695
P_115135,5,0.844322
P_115137,16,0.862552
P_115139,12,0.865263
P_115142,7,0.869272
P_115143,8,0.852594
P_11516,10,0.887382
P_115176,8,0.841548
P_115177,11,0.848716
P_115178,14,0.825322
P_115179,7,0.840213
P_115180,8,0.824900
P_115182,11,0.830372
P_115203,10,0.878297
P_115210,7,0.876798
P_115250,3,0.892757
P_1153,7,0.877790
P_115446,11,0.895141
P_115455,6,0.850202
P_115475,7,0.876298
P_115482,10,0.858154
P_11552,3,0.855460
P_115534,8,0.870701
P_11554,9,0.861622
P_115556,18,0.842390
P_115612,8,0.849298
P_115616,12,0.842096
P_115655,2,0.860946
P_115829,6,0.886878
P_116008,4,0.876230
P_116022,7,0.870552
P_116151,20,0.857363
P_116159,11,0.877289
P_116166,10,0.850251
P_116172,9,0.849642
P_116173,18,0.877549
P_116175,28,0.841431
P_116176,13,0.852799
P_116183,8,0.885082
P_116188,7,0.851905
P_116190,10,0.862468
P_116197,12,0.861125
P_116200,2,0.853827
P_116201,8,0.871181
P_116220,9,0.872334
P_116234,8,0.823357
P_116238,13,0.852050
P_116255,22,0.864741
P_116259,11,0.841913
P_116264,7,0.856532
P_116273,9,0.850971
P_116274,6,0.840543
P_116281,8,0.832278
P_116305,12,0.882300
P_116320,13,0.879558
P_116367,10,0.851894
P_116418,7,0.848580
P_116420,5,0.878644
P_116432,9,0.845257
P_116438,14,0.837645
P_11649,17,0.803144
P_116508,15,0.880540
P_116543,7,0.895604
P_116552,11,0.870924
P_116624,18,0.843529
P_116625,4,0.852268
P_116630,4,0.883214
P_116635,9,0.872813
P_116636,13,0.871351
P_116638,9,0.891483
P_116640,19,0.860872
P_116641,10,0.831693
P_116653,10,0.859738
P_11667,8,0.881878
P_116742,6,0.859754
P_116752,7,0.841717
P_116768,10,0.878054
P_116787,6,0.882195
P_116816,10,0.890944
P_116825,11,0.851760
P_116835,7,0.875207
P_11685,4,0.867316
P_116865,3,0.848926
P_116877,11,0.895163
P_116924,1,0.866229
P_116945,2,0.888924
P_116990,6,0.851600
P_117083,11,0.859347
P_117093,8,0.836850
P_117233,6,0.866269
P_117235,7,0.860750
P_117251,3,0.870636
P_117330,5,0.859029
P_11737,3,0.895757
P_117796,5,0.861274
P_117823,7,0.877945
P_117844,6,0.847421
P_117849,8,0.872964
P_11785,8,0.872747
P_11787,8,0.851948
P_117885,6,0.873595
P_117925,6,0.845338
P_117939,5,0.874049
P_11794,10,0.834318
P_11796,6,0.842743
P_11798,15,0.839920
P_117994,4,0.886900
P_11801,3,0.848230
P_118037,10,0.835108
P_118057,9,0.839397
P_11806,9,0.846433
P_118124,4,0.826399
P_118164,9,0.837404
P_11817,15,0.862896
P_11818,9,0.869207
P_118180,7,0.853703
P_118182,5,0.822463
P_118184,15,0.828988
P_118185,11,0.872757
P_118186,11,0.832922
P_118187,12,0.870509
P_11819,3,0.878654
P_11820,13,0.851575
P_118204,7,0.879065
P_11821,5,0.825030
P_11823,22,0.877965
P_11824,10,0.867786
P_118285,6,0.874324
P_11837,5,0.883201
P_118381,6,0.842283
P_11841,19,0.873540
P_118419,15,0.841070
P_11842,8,0.884050
P_118476,11,0.863363
P_118586,4,0.869831
P_118603,8,0.880789
P_118604,24,0.842652
P_118671,1,0.895517
P_118672,11,0.864561
P_11871,17,0.844364
P_118729,10,0.854247
P_118730,12,0.815418
P_11874,6,0.832800
P_118763,6,0.873735
P_118772,13,0.872664
P_118773,10,0.875487
P_118774,18,0.876944
P_118776,22,0.857623
P_118801,14,0.857944
P_118879,5,0.879100
P_11889,9,0.872922
P_118897,11,0.886438
P_118905,10,0.855376
P_118912,7,0.843093
P_118916,7,0.853540
P_118921,11,0.846196
P_11898,4,0.882834
P_11900,4,0.851819
P_11902,4,0.875583
P_119041,10,0.888332
P_11905,6,0.881449
P_119239,10,0.826508
P_119242,10,0.891006
P_119272,11,0.862530
P_11928,13,0.821569
P_119303,13,0.851849
P_119313,18,0.861396
P_11936,11,0.866226
P_119455,7,0.872013
P_119457,5,0.851222
