query_wid,s1_first,hyb_first,class
W_2930,1,1,R
W_4775,7,1,R
W_114408,164,164,A
W_961,62,62,A
W_3995,2,1,R
W_679,2,1,R
W_17671,2078,2078,A
W_4702,26,1,R
W_70931,2715,2715,A
W_42453,30,21,B_not_promoted
W_25030,24,15,B_not_promoted
W_546,29,2,B_not_promoted
W_14969,4,7,B_demoted
W_20036,218,218,A
W_5930,27,1,R
W_20097,1,1,R
W_76574,164,164,A
W_11473,212,212,A
W_40971,120,120,A
W_3099,43,43,A
W_115707,457,457,A
W_9133,1,1,R
W_25030,3,1,R
W_13440,2,1,R
W_12968,3,1,R
W_3174,302,302,A
W_4801,150,150,A
W_5233,921,921,A
W_25113,21,1,R
W_3057,1,1,R
W_7084,1,1,R
W_25113,227,227,A
W_7229,16,1,R
W_37947,1208,1208,A
W_25150,77,77,A
W_25150,123,123,A
W_25154,37,37,A
W_32202,2,1,R
W_25154,538,538,A
W_19945,1,14,B_demoted
W_4829,201,201,A
W_12792,16,7,B_not_promoted
W_4810,29,7,B_not_promoted
W_19943,311,311,A
W_4865,61,61,A
W_22965,292,292,A
W_4814,14,4,B_not_promoted
W_40675,275,275,A
W_4820,71,71,A
W_11859,121,121,A
W_99751,1,1,R
W_5697,39,39,A
W_5687,4,1,R
W_7257,1649,1649,A
W_31360,44,44,A
W_53687,67,67,A
W_3203,9,2,B_not_promoted
W_3074,1,1,R
W_9626,1,1,R
W_8202,203,203,A
W_4642,2,1,R
W_6216,81,81,A
W_126478,566,566,A
W_10790,21,3,B_not_promoted
W_4694,163,163,A
W_4887,209,209,A
W_4762,1547,1547,A
W_2407,13,12,B_not_promoted
W_1362,24,7,B_not_promoted
W_2271,7,1,R
W_21817,3,2,B_not_promoted
W_122254,12,12,B_not_promoted
W_125147,398,398,A
W_9286,92,92,A
W_3237,7,1,R
W_5954,254,254,A
W_40924,346,346,A
W_2930,10,1,R
W_2768,4,1,R
W_3162,2,1,R
W_5118,34,34,A
W_23767,22,15,B_not_promoted
W_8937,1,1,R
W_9508,60,60,A
W_2928,4,2,B_not_promoted
W_42117,21,9,B_not_promoted
W_21013,2,1,R
W_6676,1,1,R
W_383,5,1,R
W_7584,169,169,A
W_23772,115,115,A
W_2966,1,1,R
W_111510,13,28,B_demoted
W_29078,24,27,B_demoted
W_642,1,1,R
W_59952,9,16,B_demoted
W_25511,7,21,B_demoted
W_3203,120,120,A
W_5342,53,53,A
W_6464,1,1,R
W_57375,279,279,A
W_14861,159,159,A
W_115707,129,129,A
W_2558,1,4,B_demoted
W_1409,1,1,R
W_25621,3,1,R
W_5555,5,1,R
W_179,1,1,R
W_4698,585,585,A
W_4939,1,12,B_demoted
W_1305,1,1,R
W_122709,14,1,R
W_7027,18,1,R
W_68472,93,93,A
W_8213,53,53,A
W_23544,17,1,R
W_1650,1,1,R
W_7489,16,1,R
W_28094,2,1,R
W_106883,42,42,A
W_23767,122,122,A
W_7249,2,1,R
W_5461,173,173,A
W_1454,1,1,R
W_62086,88,88,A
W_1055,1,1,R
W_27477,8,1,R
W_8535,35,35,A
W_137560,14,12,B_not_promoted
W_20414,2,1,R
W_3978,155,155,A
W_5917,1,1,R
W_4066,54,54,A
W_30424,4,1,R
W_8521,33,33,A
W_20622,17,1,R
W_13204,5,1,R
W_2658,1,1,R
W_799,1652,1652,A
W_14662,6797,6797,A
W_7084,19,1,R
W_113981,268,268,A
W_34604,60,60,A
W_59954,69,69,A
W_6210,604,604,A
W_5162,41,41,A
W_35188,67,67,A
W_284,110,110,A
W_1616,6,1,R
W_284,23,19,B_not_promoted
W_284,41,41,A
W_7961,25,22,B_not_promoted
W_89492,5,8,B_demoted
W_35395,238,238,A
W_131020,14,11,B_not_promoted
W_131020,246,246,A
W_131020,170,170,A
W_131020,228,228,A
W_131020,462,462,A
W_131020,349,349,A
W_131020,12,1,R
W_38517,33,33,A
W_10851,9,6,B_not_promoted
W_131020,469,469,A
W_26,1,1,R
W_13127,2,1,R
W_56781,29,25,B_not_promoted
W_131020,348,348,A
W_20185,383,383,A
W_7249,345,345,A
W_22148,6,1,R
W_1362,624,624,A
W_4158,26,3,B_not_promoted
W_6536,1,1,R
W_2696,60,60,A
W_114606,67,67,A
W_11552,199,199,A
W_9574,233,233,A
W_25511,44,44,A
W_26111,56,56,A
W_3260,309,309,A
W_10745,1,1,R
W_26111,70,70,A
W_22926,50,50,A
W_14485,1,1,R
W_103129,543,543,A
W_9263,11,3,B_not_promoted
W_10216,287,287,A
W_30424,2,1,R
W_124809,6,12,B_demoted
W_64650,408,408,A
W_10902,1,1,R
W_14354,132,132,A
W_15300,12,1,R
W_114712,91,91,A
W_11471,11,6,B_not_promoted
W_8535,3,23,B_demoted
W_2658,4,1,R
W_1276,1,1,R
W_2271,33,33,A
W_161,19,1,R
W_4865,1,1,R
W_5500,931,931,A
W_2083,68,68,A
W_6602,2,1,R
W_21352,1,1,R
W_21528,27,9,B_not_promoted
W_13440,2,1,R
W_119158,5,1,R
W_93644,13,1,R
W_11833,79,79,A
W_19748,31,31,A
W_5655,1423,1423,A
W_53040,544,544,A
W_6753,14,1,R
W_6753,440,440,A
W_9297,103,103,A
W_4922,1,2,B_demoted
W_10838,4175,4175,A
W_5071,3,1,R
W_2454,9,17,B_demoted
W_2454,8,9,B_demoted
W_2454,2,1,R
W_19508,358,358,A
W_115251,56,56,A
W_122815,29,19,B_not_promoted
W_103129,452,452,A
W_12317,4,9,B_demoted
W_17671,2,1,R
W_7816,63,63,A
W_7878,7,1,R
W_103129,54,54,A
W_22154,203,203,A
W_11850,41,41,A
W_114947,12,2,B_not_promoted
W_12137,54,54,A
W_26,70,70,A
W_26461,14,11,B_not_promoted
W_13691,50,50,A
W_129436,624,624,A
W_233,2,1,R
W_27913,746,746,A
W_27913,336,336,A
W_3177,2,1,R
W_10144,1,1,R
W_2696,2,5,B_demoted
W_26542,49,49,A
W_26542,4,1,R
W_11534,7,1,R
W_111906,779,779,A
W_55861,44,44,A
W_87469,27,1,R
W_64766,12,30,B_demoted
W_10065,21,16,B_not_promoted
W_1812,1,12,B_demoted
W_34907,89,89,A
W_112241,19,8,B_not_promoted
W_7878,17,1,R
W_11798,8,1,R
W_93644,930,930,A
W_1939,13,10,B_not_promoted
W_2658,8,1,R
W_42117,1,11,B_demoted
W_3061,1,1,R
W_19903,1,1,R
W_5071,1,1,R
W_120968,4,2,B_not_promoted
W_124199,152,152,A
W_42521,131,131,A
W_123334,13,2,B_not_promoted
W_2393,37,37,A
W_3447,13,14,B_demoted
W_26111,109,109,A
W_6616,4,1,R
W_954,4,1,R
W_6784,1,1,R
W_1033,288,288,A
W_11898,54,54,A
W_109122,143,143,A
W_424,4149,4149,A
W_1454,1164,1164,A
W_5954,302,302,A
W_22926,98,98,A
W_25150,123,123,A
W_7577,97,97,A
W_1983,1119,1119,A
W_6102,122,122,A
W_1894,1,1,R
W_25030,1,1,R
W_4843,2,15,B_demoted
W_3858,1,1,R
W_3270,1,6,B_demoted
W_10253,5,8,B_demoted
W_3858,10,5,B_not_promoted
W_856,2,1,R
W_4854,165,165,A
W_17274,6,1,R
W_26687,2,1,R
W_26687,13,1,R
W_625,25,11,B_not_promoted
W_26687,1,1,R
W_26687,32,32,A
W_6031,1,1,R
W_4698,15,23,B_demoted
W_19943,21,9,B_not_promoted
W_119158,1,4,B_demoted
W_20110,84,84,A
W_15521,12,1,R
W_1650,1,1,R
W_40199,60,60,A
W_5162,358,358,A
W_12168,63,63,A
W_34791,3661,3661,A
W_5363,28,1,R
W_86795,647,647,A
W_30678,933,933,A
W_9004,1,1,R
W_5687,1,1,R
W_118399,51,51,A
W_1276,1,1,R
W_175,400,400,A
W_70887,38,38,A
W_70887,47,47,A
W_11649,110,110,A
W_4916,9,4,B_not_promoted
W_26839,547,547,A
W_26839,322,322,A
W_401,5,1,R
W_26839,15,13,B_not_promoted
W_7552,6,1,R
W_31003,275,275,A
W_11054,3,3,B_not_promoted
W_19417,18,24,B_demoted
W_4217,21,22,B_demoted
W_4217,113,113,A
W_5294,30,9,B_not_promoted
W_43997,39,39,A
W_116565,24,14,B_not_promoted
W_11485,1,1,R
W_12140,93,93,A
W_12140,16,14,B_not_promoted
W_94,5,1,R
W_5294,16,30,B_demoted
W_30235,64,64,A
W_28184,6,12,B_demoted
W_70931,1,1,R
W_9263,1,1,R
W_9266,15,1,R
W_38171,5,17,B_demoted
W_10781,137,137,A
W_4801,12,21,B_demoted
W_65049,121,121,A
W_117450,155,155,A
W_19353,112,112,A
W_9262,75,75,A
W_1894,1,1,R
W_15385,1,1,R
W_26939,28,1,R
W_886,64,64,A
W_26941,1,1,R
W_99743,20,27,B_demoted
W_9724,237,237,A
W_132426,605,605,A
W_64651,137,137,A
W_99743,154,154,A
W_9724,78,78,A
W_117403,115,115,A
W_31360,19,1,R
W_31360,32,32,A
W_64651,14,15,B_demoted
W_31360,10,1,R
W_14620,47,47,A
W_78838,3,1,R
W_19558,12,1,R
W_5095,7,1,R
W_9724,36,36,A
W_132426,11,1,R
W_2696,1,2,B_demoted
W_121504,1,1,R
W_1443,1,1,R
W_5095,9,1,R
W_4835,7,7,B_not_promoted
W_47901,2,1,R
W_2696,25,19,B_not_promoted
W_19903,1,1,R
W_22148,786,786,A
W_4865,23,2,B_not_promoted
W_11535,1409,1409,A
W_35188,130,130,A
W_6102,64,64,A
W_85332,23,2,B_not_promoted
W_26988,4,1,R
W_40034,160,160,A
W_40034,552,552,A
W_132490,26,2,B_not_promoted
W_132490,279,279,A
W_132490,78,78,A
W_99743,19,1,R
W_64513,1,1,R
W_6859,163,163,A
W_64489,176,176,A
W_26839,26,1,R
W_55442,7,2,B_not_promoted
W_62782,24,2,B_not_promoted
W_19558,3,2,B_not_promoted
W_64650,69,69,A
W_132541,93,93,A
W_132541,114,114,A
W_122729,198,198,A
W_19558,61,61,A
W_64648,101,101,A
W_6097,26,9,B_not_promoted
W_59954,61,61,A
W_64651,42,42,A
W_64627,59,59,A
W_21528,347,347,A
W_132541,212,212,A
W_62782,73,73,A
W_62782,62,62,A
W_5655,192,192,A
W_24522,904,904,A
W_22945,28,14,B_not_promoted
W_132541,221,221,A
W_132490,58,58,A
W_132490,335,335,A
W_69914,14,3,B_not_promoted
W_69914,3,1,R
W_5549,109,109,A
W_69914,14,1,R
W_69914,44,44,A
W_69914,2,1,R
W_23767,29,5,B_not_promoted
W_27913,197,197,A
W_20639,1,1,R
W_3145,1,1,R
W_132642,2,1,R
W_132642,2,1,R
W_132642,14,10,B_not_promoted
W_4694,530,530,A
W_7581,137,137,A
W_10850,426,426,A
W_58781,203,203,A
W_132686,11,12,B_demoted
W_56366,350,350,A
W_132686,66,66,A
W_132686,27,23,B_not_promoted
W_132686,10,25,B_demoted
W_43012,79,79,A
W_48,1,1,R
W_132686,63,63,A
W_580,159,159,A
W_15385,736,736,A
W_29045,392,392,A
W_64651,1185,1185,A
W_10641,150,150,A
W_64649,33,33,A
W_132642,32,32,A
W_132686,47,47,A
W_132686,29,25,B_not_promoted
W_132686,19,15,B_not_promoted
W_7032,1,1,R
W_123334,6,1,R
W_27164,104,104,A
W_27164,239,239,A
W_4849,32,32,A
W_22926,84,84,A
W_32595,1,1,R
W_7245,4,8,B_demoted
W_10906,50,50,A
W_2911,463,463,A
W_6441,3021,3021,A
W_11534,2,18,B_demoted
W_132541,284,284,A
W_11534,3,12,B_demoted
W_11534,1,1,R
W_272,1,1,R
W_31383,27,5,B_not_promoted
W_6093,2,1,R
W_41771,2,1,R
W_13222,7,1,R
W_3092,4,25,B_demoted
W_132900,1,1,R
W_3174,3,1,R
W_132900,1,1,R
W_7257,130,130,A
W_4812,130,130,A
W_4865,460,460,A
W_15300,1,1,R
W_27328,2,1,R
W_26542,133,133,A
W_65381,482,482,A
W_26461,279,279,A
W_10212,101,101,A
W_13693,436,436,A
W_10212,2,1,R
W_132987,106,106,A
W_58781,1304,1304,A
W_119680,147,147,A
W_123334,10,5,B_not_promoted
W_123334,39,39,A
W_123334,83,83,A
W_1362,30,1,R
W_42997,16,14,B_not_promoted
W_42997,174,174,A
W_42997,6,13,B_demoted
W_2158,342,342,A
W_115814,417,417,A
W_41771,4,1,R
W_111906,71,71,A
W_11850,11,1,R
W_11850,30,17,B_not_promoted
W_27477,4,1,R
W_8696,1,2,B_demoted
W_11779,118,118,A
W_401,8,8,B_not_promoted
W_3497,284,284,A
W_8339,3,1,R
W_115249,1,1,R
W_102577,706,706,A
W_3245,119,119,A
W_5141,4,1,R
W_8824,22,1,R
W_121495,6,2,B_not_promoted
W_113615,50,50,A
W_13873,10,1,R
W_12031,10,7,B_not_promoted
W_8203,480,480,A
W_13875,16,1,R
W_10849,1,1,R
W_11657,2,1,R
W_12792,322,322,A
W_7084,4794,4794,A
W_12795,42,42,A
W_21817,693,693,A
W_11352,100,100,A
W_2759,53,53,A
W_6441,115,115,A
W_1409,1,1,R
W_22948,98,98,A
W_8696,1,1,R
W_462,3,1,R
W_121495,7,2,B_not_promoted
W_27641,3,29,B_demoted
W_4846,61,61,A
W_303,12,1,R
W_383,120,120,A
W_32711,14,1,R
W_33213,13,1,R
W_43898,790,790,A
W_32711,2446,2446,A
W_1362,1,3,B_demoted
W_1894,1,1,R
W_46851,224,224,A
W_29380,440,440,A
W_3057,3,1,R
W_32053,231,231,A
W_10253,102,102,A
W_13691,112,112,A
W_424,15,4,B_not_promoted
W_133525,1,1,R
W_43997,626,626,A
W_4852,79,79,A
W_116622,129,129,A
W_1002,17,14,B_not_promoted
W_11657,3,1,R
W_11014,1,1,R
W_38476,4,15,B_demoted
W_4916,91,91,A
W_4852,151,151,A
W_4852,4,1,R
W_7578,87,87,A
W_121504,408,408,A
W_19985,5,1,R
W_111906,217,217,A
W_1456,6365,6365,A
W_3497,689,689,A
W_36064,1,8,B_demoted
W_27790,1,1,R
W_7776,2,1,R
W_22,13,1,R
W_40971,2,1,R
W_103,4,2,B_not_promoted
W_101001,181,181,A
W_4837,1,1,R
W_4837,3,1,R
W_122183,36,36,A
W_7032,4,1,R
W_114606,244,244,A
W_68897,2,1,R
W_12031,107,107,A
W_11667,36,36,A
W_11667,82,82,A
W_29487,428,428,A
W_9006,142,142,A
W_116622,2,1,R
W_4689,2,1,R
W_9574,147,147,A
W_9262,15,1,R
W_27906,63,63,A
W_57375,282,282,A
W_10852,247,247,A
W_27911,91,91,A
W_9576,130,130,A
W_9576,195,195,A
W_27919,3,1,R
W_27919,28,2,B_not_promoted
W_5915,4,1,R
W_39786,9,1,R
W_4692,45,45,A
W_76498,1,6,B_demoted
W_22961,35,35,A
W_4829,35,35,A
W_12792,3,21,B_demoted
W_4837,1,1,R
W_9376,401,401,A
W_3099,49,49,A
W_21721,1,1,R
W_75372,967,967,A
W_4837,2,1,R
W_7213,37,37,A
W_29487,221,221,A
W_1894,1,1,R
W_34791,1,1,R
W_13549,83,83,A
W_13549,325,325,A
W_87425,309,309,A
W_87425,509,509,A
W_87425,71,71,A
W_87425,36,36,A
W_82877,1249,1249,A
W_87425,500,500,A
W_87425,79,79,A
W_580,32,32,A
W_132900,1,1,R
W_6693,201,201,A
W_132900,1,1,R
W_10913,330,330,A
W_32595,11,3,B_not_promoted
W_20110,6,14,B_demoted
W_3074,1,1,R
W_5216,265,265,A
W_575,10,1,R
W_40251,35,35,A
W_23544,3,1,R
W_1894,2,1,R
W_94,137,137,A
W_64395,58,58,A
W_5363,107,107,A
W_2558,1,1,R
W_22451,224,224,A
W_2974,230,230,A
W_9133,91,91,A
W_564,88,88,A
W_4755,139,139,A
W_8387,2,1,R
W_25511,115,115,A
W_462,20,3,B_not_promoted
W_28184,17,3,B_not_promoted
W_9376,967,967,A
W_114608,128,128,A
W_30678,14,1,R
W_20185,887,887,A
W_20622,36,36,A
W_24484,268,268,A
W_11819,322,322,A
W_4846,210,210,A
W_10781,3,5,B_demoted
W_7229,72,72,A
W_4837,3,1,R
W_20049,310,310,A
W_21721,41,41,A
W_4806,3,1,R
W_12792,67,67,A
W_4700,448,448,A
W_4837,2,1,R
W_5655,87,87,A
W_12937,14,30,B_demoted
W_78838,1,1,R
W_24522,1728,1728,A
W_6210,448,448,A
W_20539,2,1,R
W_126478,190,190,A
W_132987,88,88,A
W_24484,226,226,A
W_43997,943,943,A
W_25150,49,49,A
W_55442,4,1,R
W_21958,4027,4027,A
W_3904,125,125,A
W_4646,435,435,A
W_4849,357,357,A
W_65049,8,1,R
W_20120,184,184,A
W_10846,786,786,A
W_61933,1153,1153,A
W_3092,10,9,B_not_promoted
W_62782,7,1,R
W_5954,2,1,R
W_14969,1,1,R
W_994,2,1,R
W_71473,2,1,R
W_93644,163,163,A
W_93644,23,4,B_not_promoted
W_97460,8,22,B_demoted
W_1376,1,24,B_demoted
W_13698,52,52,A
W_28493,101,101,A
W_28495,236,236,A
W_88508,7,9,B_demoted
W_111408,78,78,A
W_113981,12,21,B_demoted
W_20414,197,197,A
W_2673,5,1,R
W_9560,2,2,B_not_promoted
W_7032,24,1,R
W_5396,1037,1037,A
W_119680,3,1,R
W_119680,3,1,R
W_9133,2,3,B_demoted
W_28547,7,6,B_not_promoted
W_2855,524,524,A
W_6453,36,36,A
W_134347,1,1,R
W_932,42,42,A
W_13691,196,196,A
W_31003,81,81,A
W_26461,17,8,B_not_promoted
W_1792,51,51,A
W_98152,1,1,R
W_4767,2,1,R
W_7552,6,1,R
W_23525,3,1,R
W_53040,301,301,A
W_132987,706,706,A
W_20084,87,87,A
W_20069,956,956,A
W_40671,30,15,B_not_promoted
W_7284,56,56,A
W_10781,78,78,A
W_12031,362,362,A
W_82200,282,282,A
W_82200,1,1,R
W_112640,1,1,R
W_47901,521,521,A
W_47674,7,21,B_demoted
W_19943,5,13,B_demoted
W_19943,32,32,A
W_29045,14,1,R
W_12972,3072,3072,A
W_5461,5,1,R
W_5461,1547,1547,A
W_38429,19,1,R
W_121495,2,1,R
W_25113,1,1,R
W_7961,69,69,A
W_76174,5,1,R
W_10788,16,1,R
W_4158,29,22,B_not_promoted
W_303,782,782,A
W_10852,48,48,A
W_18,1,1,R
W_42338,62,62,A
W_841,1,1,R
W_998,179,179,A
W_28784,1,1,R
W_11006,53,53,A
W_7578,159,159,A
W_27579,170,170,A
W_45675,10,22,B_demoted
W_24484,1280,1280,A
W_6031,2,1,R
W_132900,284,284,A
W_13549,89,89,A
W_5141,44,44,A
W_134622,1,1,R
W_134622,127,127,A
W_134622,1,1,R
W_134666,1,1,R
W_134666,8,1,R
W_112910,4,1,R
W_115249,610,610,A
W_97414,27,20,B_not_promoted
W_17274,50,50,A
W_10129,6,1,R
W_12937,862,862,A
W_10129,1,1,R
W_32202,1,1,R
W_22053,1,1,R
W_6102,5867,5867,A
W_36064,30,5,B_not_promoted
W_14379,198,198,A
W_35472,125,125,A
W_6485,57,57,A
W_28547,7,1,R
W_11534,2,1,R
W_132685,289,289,A
W_132685,161,161,A
W_132685,22,29,B_demoted
W_51980,24,3,B_not_promoted
W_132685,146,146,A
W_132685,20,1,R
W_115251,1,1,R
W_61933,17,1,R
W_132685,14,4,B_not_promoted
W_2474,2,9,B_demoted
W_5368,6128,6128,A
W_22148,16,23,B_demoted
W_2901,57,57,A
W_133525,5,1,R
W_133525,1,1,R
W_6292,1,1,R
W_134666,1,1,R
W_399,4,9,B_demoted
W_5071,15,26,B_demoted
W_132900,1,1,R
W_4681,666,666,A
W_12031,608,608,A
W_29060,7,6,B_not_promoted
W_4816,90,90,A
W_14809,11,1,R
W_23772,1,1,R
W_29078,1,1,R
W_25150,338,338,A
W_4687,80,80,A
W_62433,297,297,A
W_10129,423,423,A
W_22948,859,859,A
W_26542,208,208,A
W_111952,10,1,R
W_4683,3,1,R
W_114408,9,1,R
W_44137,109,109,A
W_43195,1,1,R
W_14379,1,1,R
W_994,1,1,R
W_233,1,4,B_demoted
W_49809,22,15,B_not_promoted
W_367,104,104,A
W_10848,28,1,R
W_25150,217,217,A
W_7583,4,1,R
W_38495,365,365,A
W_13695,1,1,R
W_29130,1,1,R
W_29130,143,143,A
W_12135,1654,1654,A
W_132900,3,1,R
W_4217,446,446,A
W_932,25,1,R
W_5917,2,1,R
W_27790,6,8,B_demoted
W_5958,4,1,R
W_27328,140,140,A
W_19943,172,172,A
W_6730,7,13,B_demoted
W_10154,25,2,B_not_promoted
W_4726,1,1,R
W_4704,65,65,A
W_5724,1,1,R
W_39438,63,63,A
W_3266,352,352,A
W_25621,120,120,A
W_4939,77,77,A
W_83873,9,1,R
W_21025,3048,3048,A
W_1454,3,1,R
W_4841,1,1,R
W_23239,100,100,A
W_23116,87,87,A
W_27906,8,1,R
W_14599,11,28,B_demoted
W_10850,164,164,A
W_123591,62,62,A
W_4826,1,1,R
W_4683,6,24,B_demoted
W_112910,2,6,B_demoted
W_14599,20,1,R
W_7202,4,2,B_not_promoted
W_44137,399,399,A
W_10848,22,16,B_not_promoted
W_20539,18,2,B_not_promoted
W_20110,8,10,B_demoted
W_125147,149,149,A
W_64593,526,526,A
W_3170,1,1,R
W_14969,1,4,B_demoted
W_50379,56,56,A
W_35389,52,52,A
W_63932,42,42,A
W_89492,8,10,B_demoted
W_2928,1,1,R
W_40034,83,83,A
W_1376,90,90,A
W_20120,16,30,B_demoted
W_4779,3,1,R
W_29299,43,43,A
W_2930,13,1,R
W_34699,149,149,A
W_19417,17,12,B_not_promoted
W_20254,241,241,A
W_38517,271,271,A
W_4692,1434,1434,A
W_10253,1,1,R
W_6093,89,89,A
W_76174,61,61,A
W_4867,73,73,A
W_246,22,5,B_not_promoted
W_12137,1,1,R
W_103129,38,38,A
W_3099,456,456,A
W_4696,94,94,A
W_29078,18,23,B_demoted
W_120968,44,44,A
W_120968,1,1,R
W_13127,1,1,R
W_10848,213,213,A
W_29380,42,42,A
W_43195,25,1,R
W_33213,26,1,R
W_9132,695,695,A
W_48320,2,1,R
W_10849,312,312,A
W_11472,152,152,A
W_120968,2,1,R
W_29487,228,228,A
W_2673,8,6,B_not_promoted
W_6210,9,1,R
W_120968,1,1,R
W_28184,1,1,R
W_5071,7,3,B_not_promoted
W_8872,12,1,R
W_4158,1,1,R
W_399,1,1,R
W_133525,1,1,R
W_135478,3,2,B_not_promoted
W_135478,33,33,A
W_135493,2,1,R
W_135493,1,1,R
W_4655,4,1,R
W_100,2,1,R
W_12135,168,168,A
W_243,64,64,A
W_38495,241,241,A
W_19417,504,504,A
W_13440,95,95,A
W_22965,340,340,A
W_20710,101,101,A
W_40120,106,106,A
W_121495,2,1,R
W_135493,5,1,R
W_2966,1,1,R
W_1795,2,1,R
W_2968,85,85,A
W_93655,1,1,R
W_109642,1,1,R
W_4696,131,131,A
W_2970,1,1,R
W_59150,1,2,B_demoted
W_6031,33,33,A
W_998,1,1,R
W_47674,3,19,B_demoted
W_28493,44,44,A
W_7202,14,8,B_not_promoted
W_6097,19,14,B_not_promoted
W_3353,4,1,R
W_37776,3,1,R
W_2085,2,1,R
W_4642,2,1,R
W_6437,1,1,R
W_2974,1,1,R
W_2976,1,1,R
W_36064,5,1,R
W_125147,331,331,A
W_86939,481,481,A
W_1347,14,26,B_demoted
W_86939,1174,1174,A
W_2110,1,2,B_demoted
W_50939,2,1,R
W_10576,2,7,B_demoted
W_135726,1,1,R
W_20254,739,739,A
W_1353,90,90,A
W_133525,8,1,R
W_9507,1,1,R
W_22581,93,93,A
W_135726,2,1,R
W_9158,152,152,A
W_64649,25,23,B_not_promoted
W_135726,1,1,R
W_40199,158,158,A
W_3964,1,1,R
W_3092,29,7,B_not_promoted
W_117417,16,3,B_not_promoted
W_5162,153,153,A
W_21828,1,1,R
W_17866,8,2,B_not_promoted
W_6807,109,109,A
W_135726,1,1,R
W_135726,3,1,R
W_135726,5,1,R
W_299,2,1,R
W_9358,586,586,A
W_7495,2,3,B_demoted
W_135726,55,55,A
W_4700,151,151,A
W_23239,35,35,A
W_13875,453,453,A
W_135726,5,1,R
W_121504,96,96,A
W_9626,22,1,R
W_124809,669,669,A
W_43898,172,172,A
W_5954,4,1,R
W_52851,1,1,R
W_10901,1325,1325,A
W_43898,116,116,A
W_39055,2149,2149,A
W_98311,37,37,A
W_4939,177,177,A
W_580,736,736,A
W_4751,9,1,R
W_73656,40,40,A
W_6807,2488,2488,A
W_15223,12,4,B_not_promoted
W_3270,11,1,R
W_42631,7,9,B_demoted
W_35206,60,60,A
W_23142,52,52,A
W_7261,29,1,R
W_5917,1,1,R
W_233,1,1,R
W_23165,2,1,R
W_13222,1,1,R
W_704,769,769,A
W_1353,11,2,B_not_promoted
W_5552,182,182,A
W_19985,387,387,A
W_3170,4,1,R
W_383,1,1,R
W_10313,74,74,A
W_4681,68,68,A
W_9376,649,649,A
W_11534,1,22,B_demoted
W_10901,197,197,A
W_284,14,27,B_demoted
W_13552,1000,1000,A
W_30209,8,1,R
W_30209,16,15,B_not_promoted
W_136166,12,20,B_demoted
W_867,11,24,B_demoted
W_2974,1,1,R
W_7489,26,2,B_not_promoted
W_123334,645,645,A
W_4810,4,16,B_demoted
W_10745,5,1,R
W_4843,19,13,B_not_promoted
W_30235,33,33,A
W_30235,34,34,A
W_40876,488,488,A
W_30246,1,1,R
W_15300,18,4,B_not_promoted
W_11859,406,406,A
W_31725,214,214,A
W_3270,1490,1490,A
W_284,46,46,A
W_704,381,381,A
W_86795,14,1,R
W_49809,3791,3791,A
W_30326,46,46,A
W_9133,1,1,R
W_2110,247,247,A
W_119473,18,13,B_not_promoted
W_9158,91,91,A
W_4685,443,443,A
W_424,2,1,R
W_6210,11,11,B_not_promoted
W_3497,125,125,A
W_30424,9,1,R
W_29060,248,248,A
W_20541,55,55,A
W_1412,6,2,B_not_promoted
W_14809,48,48,A
W_5697,230,230,A
W_122709,1,1,R
W_5552,66,66,A
W_54816,1,1,R
W_856,365,365,A
W_3529,2663,2663,A
W_37776,524,524,A
W_9128,214,214,A
W_7279,771,771,A
W_26941,10,20,B_demoted
W_7961,1091,1091,A
W_998,173,173,A
W_75372,173,173,A
W_12968,3,21,B_demoted
W_37776,1,3,B_demoted
W_37776,123,123,A
W_19943,1,2,B_demoted
W_30552,3,4,B_demoted
W_30552,38,38,A
W_5534,28,3,B_not_promoted
W_5231,68,68,A
W_21817,61,61,A
W_124809,23,26,B_demoted
W_3057,3,1,R
W_135478,32,32,A
W_3061,16,1,R
W_136518,48,48,A
W_136518,411,411,A
W_136518,2,1,R
W_136518,36,36,A
W_136518,227,227,A
W_7583,14,3,B_not_promoted
W_136518,36,36,A
W_136518,627,627,A
W_136518,57,57,A
W_136518,93,93,A
W_136518,40,40,A
W_136518,38,38,A
W_867,1,1,R
W_11472,201,201,A
W_1130,23,1,R
W_3063,104,104,A
W_121495,8,12,B_demoted
W_2976,367,367,A
W_30668,30,8,B_not_promoted
W_30678,4,1,R
W_4854,5313,5313,A
W_44137,532,532,A
W_9643,13,14,B_demoted
W_5319,1,1,R
W_33804,3,3,B_not_promoted
W_6715,100,100,A
W_21528,644,644,A
W_23772,18,2,B_not_promoted
W_6939,1,1,R
W_12937,18,3,B_not_promoted
W_3077,56,56,A
W_22053,161,161,A
W_9131,23,1,R
W_10216,187,187,A
W_9576,582,582,A
W_399,1,1,R
W_30552,6,1,R
W_12168,1,1,R
W_7027,7,1,R
W_23142,21,1,R
W_4681,20,2,B_not_promoted
W_10237,49,49,A
W_199,10,4,B_not_promoted
W_11667,95,95,A
W_10845,10,12,B_demoted
W_2081,6817,6817,A
W_3092,5,2,B_not_promoted
W_6163,1,1,R
W_9644,10,1,R
W_6292,31,31,A
W_1616,2966,2966,A
W_3097,1,1,R
W_28094,1,1,R
W_65049,5,1,R
W_42453,85,85,A
W_11850,46,46,A
W_64593,2,5,B_demoted
W_3097,3,13,B_demoted
W_5438,230,230,A
W_64593,395,395,A
