query_wid,s1_first,hyb_first,class
W_109122,1792,1792,A
W_109122,12,5,B_not_promoted
W_10913,68,68,A
W_62475,2,1,R
W_10914,33,33,A
W_56781,8,1,R
W_10931,69,69,A
W_13691,11,15,B_demoted
W_28184,38,38,A
W_32531,2,1,R
W_2558,4,12,B_demoted
W_1894,514,514,A
W_6753,6,1,R
W_109642,73,73,A
W_109642,220,220,A
W_109642,169,169,A
W_109642,831,831,A
W_8872,4,1,R
W_2407,27,26,B_not_promoted
W_11006,16,14,B_not_promoted
W_102577,50,50,A
W_9665,9,12,B_demoted
W_40671,125,125,A
W_54466,59,59,A
W_11014,3,1,R
W_34086,3,2,B_not_promoted
W_26111,4,9,B_demoted
W_68472,15,11,B_not_promoted
W_627,694,694,A
W_10528,37,37,A
W_63101,280,280,A
W_4689,74,74,A
W_4689,1,1,R
W_11051,1,1,R
W_11054,2,1,R
W_2673,3,3,B_not_promoted
W_11054,1,1,R
W_26461,330,330,A
W_26461,26,11,B_not_promoted
W_1108,5,1,R
W_1108,121,121,A
W_35206,13,4,B_not_promoted
W_99743,105,105,A
W_11823,126,126,A
W_167,1,2,B_demoted
W_64593,142,142,A
W_13687,257,257,A
W_32062,1,1,R
W_9571,90,90,A
W_29299,15,1,R
W_6715,18,1,R
W_20120,340,340,A
W_28094,144,144,A
W_76498,63,63,A
W_642,1,1,R
W_111408,131,131,A
W_111408,246,246,A
W_9576,9,1,R
W_5958,10,21,B_demoted
W_11657,347,347,A
W_15521,10,1,R
W_111510,21,15,B_not_promoted
W_27790,2,1,R
W_6784,2,1,R
W_111535,1,1,R
W_111535,1,1,R
W_51980,36,36,A
W_272,1,1,R
W_111535,12,1,R
W_272,1,1,R
W_5515,6,1,R
W_272,1,1,R
W_272,1,1,R
W_272,1,1,R
W_9644,4,1,R
W_11249,1,1,R
W_32062,3,1,R
W_3266,1,11,B_demoted
W_111656,37,37,A
W_7247,1,1,R
W_111408,7,1,R
W_13208,2,1,R
W_272,1,1,R
W_20639,1,1,R
W_706,2,1,R
W_30246,1,1,R
W_3858,1,1,R
W_39520,2,1,R
W_961,1,1,R
W_1456,1,1,R
W_7489,6,1,R
W_22581,1,1,R
W_11358,455,455,A
W_20414,57,57,A
W_2658,1007,1007,A
W_5095,1,1,R
W_111854,42,42,A
W_111854,217,217,A
W_111854,42,42,A
W_111854,113,113,A
W_111854,55,55,A
W_954,2,1,R
W_111906,88,88,A
W_111906,28,29,B_demoted
W_52177,6,20,B_demoted
W_111906,261,261,A
W_20088,46,46,A
W_101220,7,18,B_demoted
W_4696,24,7,B_not_promoted
W_4810,137,137,A
W_7584,13,2,B_not_promoted
W_4814,117,117,A
W_11833,44,44,A
W_106883,694,694,A
W_1276,7,18,B_demoted
W_86795,221,221,A
W_86795,141,141,A
W_111906,79,79,A
W_111906,364,364,A
W_111952,2,1,R
W_111952,28,15,B_not_promoted
W_111952,1,1,R
W_111952,299,299,A
W_1143,1,1,R
W_1769,10,1,R
W_6616,1,1,R
W_430,1,1,R
W_6676,1,1,R
W_6602,5,1,R
W_10526,1,1,R
W_9576,54,54,A
W_27913,431,431,A
W_27913,204,204,A
W_27913,15,27,B_demoted
W_27913,35,35,A
W_9671,62,62,A
W_111991,2,1,R
W_111991,4,6,B_demoted
W_111991,2,1,R
W_11471,84,84,A
W_11473,1,1,R
W_11485,1,1,R
W_11485,1,1,R
W_2911,7,1,R
W_4820,13,8,B_not_promoted
W_112006,253,253,A
W_112006,30,3,B_not_promoted
W_112006,155,155,A
W_58781,427,427,A
W_65049,4,1,R
W_7581,115,115,A
W_25511,30,1,R
W_93655,30,13,B_not_promoted
W_40971,195,195,A
W_11472,271,271,A
W_112006,35,35,A
W_2427,1,3,B_demoted
W_10144,31,31,A
W_102577,269,269,A
W_11652,163,163,A
W_56239,58,58,A
W_11473,69,69,A
W_58781,400,400,A
W_22154,36,36,A
W_22154,147,147,A
W_11516,6,1,R
W_7202,17,1,R
W_5915,156,156,A
W_9290,49,49,A
W_27911,386,386,A
W_4687,21,3,B_not_promoted
W_76498,61,61,A
W_38517,88,88,A
W_1305,35,35,A
W_6693,148,148,A
W_1153,1,1,R
W_3237,18,24,B_demoted
W_31003,348,348,A
W_21352,29,16,B_not_promoted
W_11552,1,1,R
W_112097,130,130,A
W_11552,4,1,R
W_112097,190,190,A
W_7253,89,89,A
W_27164,350,350,A
W_26687,1,1,R
W_111656,19,20,B_demoted
W_59319,60,60,A
W_30668,9,25,B_demoted
W_4685,282,282,A
W_30668,32,32,A
W_13873,37,37,A
