run,change_vs_base,best_val_map,best_epoch,epochs_run,minutes,selected
sweep_base,none (patience 60),0.181,50,60,37.0,True
sweep_b64,batch_wids=64,0.1804,50,60,37.2,False
sweep_in512,input_frames=512,0.1682,58,60,56.7,False
sweep_lr3e-3,lr=0.003,0.1459,53,60,37.0,False
