epoch,train_loss,lr,val_map,val_mrr,val_hit@10,epoch_seconds
1,4.745178500811259,0.0009993147673772868,0.1303730663025222,0.1303730663025222,0.20333333333333334,37.07186112499767
2,4.7142707506815595,0.0009972609476841365,0.08513468557468419,0.08513468557468419,0.11,36.83458741600043
3,4.7039020160834,0.0009938441702975688,0.08547709087936367,0.08547709087936367,0.13666666666666666,38.91275454100105
4,4.684741993745168,0.0009890738003669028,0.09230664917979045,0.09230664917979045,0.13,39.884011250000185
5,4.67208727200826,0.0009829629131445341,0.08698673478328485,0.08698673478328485,0.14,39.55631791599808
6,4.652545144160588,0.0009755282581475769,0.11366379039606926,0.11366379039606926,0.2,45.12690929200107
7,4.580061922470729,0.0009667902132486009,0.13597534966977118,0.13597534966977118,0.25,37.95728287499878
8,4.500398725271225,0.0009567727288213005,0.12271514022269021,0.12271514022269021,0.18666666666666668,36.843291791999945
9,4.4736378490924835,0.0009455032620941839,0.11729377587925242,0.11729377587925242,0.22,41.2397005419989
10,4.490848471721013,0.0009330127018922195,0.13297453558848904,0.13297453558848904,0.21,37.32673908400102
11,4.417980641126633,0.0009193352839727121,0.14048651234068296,0.14048651234068296,0.24333333333333335,36.49563808300081
12,4.440056016047795,0.0009045084971874737,0.1403553677114816,0.1403553677114816,0.23,35.82545462500275
13,4.465809007485707,0.0008885729807284855,0.14184848115570475,0.14184848115570475,0.22333333333333333,36.42357179100145
14,4.435231149196625,0.0008715724127386972,0.1254881439040944,0.1254881439040944,0.22666666666666666,36.39567966600225
15,4.410720815261205,0.0008535533905932739,0.12296960620155485,0.12296960620155485,0.22,36.67530233399884
16,4.396949241558711,0.0008345653031794292,0.11681573051186699,0.11681573051186699,0.22666666666666666,36.09418666700003
17,4.366714149713516,0.0008146601955249187,0.11936585582552758,0.11936585582552758,0.21,36.29318837499886
18,4.37886060277621,0.0007938926261462367,0.10160129136268696,0.10160129136268696,0.19,36.16198458299914
19,4.348130742708842,0.0007723195175075136,0.11300365099946637,0.11300365099946637,0.21666666666666667,37.06917754099777
20,4.373298078775406,0.00075,0.1268769214966828,0.1268769214966828,0.24,35.77946470800089
21,4.34412345290184,0.0007269952498697733,0.13542423875002088,0.13542423875002088,0.22333333333333333,36.098021875000995
22,4.321744700272878,0.0007033683215379002,0.12548753905352455,0.12548753905352455,0.2866666666666667,36.49049395799739
23,4.329352448383967,0.0006791839747726503,0.14034338037111174,0.14034338037111174,0.24666666666666667,36.12672604199906
24,4.311680366595586,0.0006545084971874737,0.10590852393852747,0.10590852393852747,0.23,36.41585866699825
25,4.341972043116887,0.0006294095225512603,0.1286049920402699,0.1286049920402699,0.21666666666666667,36.1738483750014
26,4.291083296140035,0.0006039558454088795,0.12182066161939839,0.12182066161939839,0.23333333333333334,38.06084858300164
27,4.296468665202458,0.0005782172325201154,0.1311154787699455,0.1311154787699455,0.2633333333333333,38.50664483299988
28,4.250694125890732,0.0005522642316338267,0.1356518396012323,0.1356518396012323,0.23333333333333334,37.29733066699919
29,4.245954602956772,0.0005261679781214719,0.12382818690642172,0.12382818690642172,0.23333333333333334,37.71050779199868
30,4.2517964740594225,0.0005000000000000001,0.12534795012181912,0.12534795012181912,0.24,37.76239870900099
31,4.203227291504542,0.00047383202187852816,0.12039213908465204,0.12039213908465204,0.25333333333333335,37.795905582999694
32,4.170675307512283,0.00044773576836617336,0.12447325289181829,0.12447325289181829,0.24333333333333335,37.08006454199858
33,4.186714351177216,0.0004217827674798846,0.11786006309152429,0.11786006309152429,0.22333333333333333,37.59928479100199
34,4.149943461020787,0.00039604415459112036,0.10976010227691671,0.10976010227691671,0.20333333333333334,38.241691125000216
35,4.119669169187546,0.00037059047744873974,0.1321225781223327,0.1321225781223327,0.25,37.05873954100025
36,4.1471927265326185,0.0003454915028125264,0.1304864251361142,0.1304864251361142,0.26,37.39228054200066
37,4.0954558451970415,0.0003208160252273499,0.14473127764396035,0.14473127764396035,0.2633333333333333,36.25013620900063
38,4.078652362028758,0.00029663167846210003,0.14064124284216195,0.14064124284216195,0.27,36.5152799589996
39,4.077254881461461,0.0002730047501302267,0.13671162730930708,0.13671162730930708,0.28,36.33824195800116
40,4.06087252497673,0.00025000000000000017,0.1512860345162403,0.1512860345162403,0.27666666666666667,36.08898095800032
41,4.057117859522502,0.00022768048249248665,0.16211920252991732,0.16211920252991732,0.28,36.618552874999295
42,4.011506696542104,0.00020610737385376354,0.147425582331956,0.147425582331956,0.25333333333333335,36.65454725000018
43,4.007616450389226,0.0001853398044750814,0.14805622737979582,0.14805622737979582,0.27,37.36495808299878
44,3.997488558292389,0.0001654346968205711,0.16003099208252672,0.16003099208252672,0.3,36.31694583300123
