epoch,train_loss,lr,val_map,val_mrr,val_hit@10,epoch_seconds
1,4.08887931641112,0.0009993147673772868,0.09504352700003303,0.09504352700003303,0.14,37.60684520799987
2,4.077684737266378,0.0009972609476841365,0.06067527527715459,0.06067527527715459,0.10666666666666667,36.85377558400069
3,4.054001803093768,0.0009938441702975688,0.06987024205956509,0.06987024205956509,0.11,39.19624137500068
4,4.032562301513996,0.0009890738003669028,0.07564108966819516,0.07564108966819516,0.12333333333333334,40.19940104200214
5,4.0267947125942145,0.0009829629131445341,0.07945934737780433,0.07945934737780433,0.11666666666666667,40.030455291002
6,4.015402504738341,0.0009755282581475769,0.10774340421364684,0.10774340421364684,0.17333333333333334,45.78044787500039
7,3.9771714565601757,0.0009667902132486009,0.11122646587328769,0.11122646587328769,0.18666666666666668,38.22224504199767
8,3.915950267872912,0.0009567727288213005,0.11024896508445371,0.11024896508445371,0.19666666666666666,36.33681937500296
9,3.8655851445299514,0.0009455032620941839,0.10306211487948821,0.10306211487948821,0.18333333333333332,42.921316541000124
10,3.843448745443466,0.0009330127018922195,0.11795907184481214,0.11795907184481214,0.18666666666666668,36.39971337500174
11,3.798145887699533,0.0009193352839727121,0.1013122715593561,0.1013122715593561,0.17666666666666667,36.213354499999696
12,3.804501863236123,0.0009045084971874737,0.13398959764358565,0.13398959764358565,0.23666666666666666,36.295989416998054
13,3.777155140612988,0.0008885729807284855,0.11448338481134086,0.11448338481134086,0.18666666666666668,36.33325745800175
14,3.7698181030598095,0.0008715724127386972,0.10631822267800915,0.10631822267800915,0.18333333333333332,35.58965695799998
15,3.7721740337128336,0.0008535533905932739,0.1066266288179312,0.1066266288179312,0.18333333333333332,35.7734138329979
16,3.756141667670392,0.0008345653031794292,0.11300638199313608,0.11300638199313608,0.17333333333333334,35.914144499998656
17,3.751765875106162,0.0008146601955249187,0.09707339255344696,0.09707339255344696,0.17333333333333334,35.77681570799905
18,3.7187035033043396,0.0007938926261462367,0.11175324411397829,0.11175324411397829,0.18666666666666668,36.475530915999116
19,3.7391578897516777,0.0007723195175075136,0.11436073181149674,0.11436073181149674,0.23,37.289717833002214
20,3.7447881191334824,0.00075,0.12367375748584211,0.12367375748584211,0.21333333333333335,36.047590707999916
21,3.692775660372795,0.0007269952498697733,0.11600574611302147,0.11600574611302147,0.20666666666666667,35.6506182919984
22,3.7146540601202784,0.0007033683215379002,0.11269075553043732,0.11269075553043732,0.22333333333333333,36.113498833998165
23,3.649170419003101,0.0006791839747726503,0.12318098998640224,0.12318098998640224,0.25333333333333335,36.36054958399836
24,3.6690503282749907,0.0006545084971874737,0.12262840481222971,0.12262840481222971,0.21,36.15731820899964
25,3.6757847907695362,0.0006294095225512603,0.1264351856814946,0.1264351856814946,0.23666666666666666,35.578719749999436
26,3.6296708025830857,0.0006039558454088795,0.11814968683383756,0.11814968683383756,0.22666666666666666,36.86435899999924
27,3.645144594476578,0.0005782172325201154,0.13614970092007028,0.13614970092007028,0.25333333333333335,37.74137137499929
28,3.6150603142190487,0.0005522642316338267,0.1373407545147383,0.1373407545147383,0.26666666666666666,35.86802829199951
29,3.6188407248639045,0.0005261679781214719,0.13224398099531293,0.13224398099531293,0.26,37.04877608300012
30,3.60367170800554,0.0005000000000000001,0.12099448178778827,0.12099448178778827,0.23333333333333334,36.14644879199841
31,3.5442579857846526,0.00047383202187852816,0.14839141031399833,0.14839141031399833,0.29,37.34483058299884
32,3.52461527763529,0.00044773576836617336,0.15131201279335618,0.15131201279335618,0.30333333333333334,36.16527820899864
33,3.5664555772821953,0.0004217827674798846,0.13136270293869023,0.13136270293869023,0.24333333333333335,36.04755829199712
34,3.4943345303231097,0.00039604415459112036,0.14029457241454538,0.14029457241454538,0.23666666666666666,36.57722549999744
35,3.4818891870214586,0.00037059047744873974,0.1696864002944509,0.1696864002944509,0.32666666666666666,36.0248795410007
36,3.4772173191638704,0.0003454915028125264,0.12599409866080907,0.12599409866080907,0.26,37.38437204100046
37,3.4640814598570477,0.0003208160252273499,0.15433271666148807,0.15433271666148807,0.26,36.32555429200147
38,3.4538422543951808,0.00029663167846210003,0.1565749900581509,0.1565749900581509,0.3233333333333333,35.789445583002816
39,3.448346863401697,0.0002730047501302267,0.16741047438746692,0.16741047438746692,0.34,35.87068733400156
40,3.444525307797371,0.00025000000000000017,0.15754473850470746,0.15754473850470746,0.31333333333333335,36.109439708001446
41,3.4570589877189475,0.00022768048249248665,0.1524135633336399,0.1524135633336399,0.31666666666666665,35.706933416997344
42,3.404482755255192,0.00020610737385376354,0.1598789481735043,0.1598789481735043,0.31666666666666665,36.08373083300103
43,3.3983644221691374,0.0001853398044750814,0.15475799884288458,0.15475799884288458,0.30666666666666664,36.74853879099828
44,3.4042401263054383,0.0001654346968205711,0.17132872609321012,0.17132872609321012,0.31666666666666665,36.270716832998005
45,3.3618787755357458,0.0001464466094067263,0.16983104134613647,0.16983104134613647,0.35333333333333333,36.25992479199704
46,3.397497314087888,0.00012842758726130303,0.15947001750245288,0.15947001750245288,0.37,35.968194709003
47,3.3711665488303977,0.00011142701927151459,0.17749734444505752,0.17749734444505752,0.35,35.91909916700024
48,3.340243253302067,9.549150281252635e-05,0.15395962823539358,0.15395962823539358,0.3333333333333333,36.17825495800207
49,3.3478875413854072,8.066471602728805e-05,0.16992012033850007,0.16992012033850007,0.34,36.0308235420016
50,3.3505976859559405,6.698729810778066e-05,0.18097026232938931,0.18097026232938931,0.37333333333333335,35.98512225000013
51,3.3149999709839517,5.449673790581612e-05,0.17011809679078288,0.17011809679078288,0.3333333333333333,36.77605649999896
52,3.282227561828938,4.322727117869952e-05,0.15617039708541436,0.15617039708541436,0.34,37.02082212499954
53,3.3094338761999254,3.3209786751399136e-05,0.17246477849918881,0.17246477849918881,0.35,37.41933091700048
54,3.2911519547726247,2.4471741852423238e-05,0.1746002111383759,0.1746002111383759,0.33666666666666667,36.508748500000365
55,3.3403912300759173,1.7037086855465846e-05,0.16551966236789573,0.16551966236789573,0.3466666666666667,36.32275141700302
56,3.3008200259918863,1.0926199633097158e-05,0.1686865402307598,0.1686865402307598,0.3566666666666667,37.03699312500248
57,3.3136185635911657,6.155829702431172e-06,0.1658688541163923,0.1658688541163923,0.36,37.59518379099973
58,3.2960351730914828,2.7390523158633003e-06,0.17766029252912163,0.17766029252912163,0.35,40.430189582999446
59,3.2818816773434905,6.852326227130837e-07,0.17121117895751306,0.17121117895751306,0.3466666666666667,39.162493040999834
60,3.33651824200407,0.0,0.1718558216443789,0.1718558216443789,0.35333333333333333,38.662173458000325
