query_pid,query_wid,s1_first,s1_ap,cov,none_n96_first,none_n96_ap,profile_cosine_n96_first,profile_cosine_n96_ap,exhaustive_dtw_n96_first,exhaustive_dtw_n96_ap,none_n384_first,none_n384_ap,profile_cosine_n384_first,profile_cosine_n384_ap,exhaustive_dtw_n384_first,exhaustive_dtw_n384_ap
P_261536,W_64650,408,0.0035697248300187376,0,408,0.00356972,408,0.00356972,408,0.00356972,408,0.00356972,408,0.00356972,408,0.00356972
P_261542,W_10902,1,0.17919851088899372,2,1,0.1056691,1,0.10280962,1,0.10253184,1,0.10463711,1,0.10380169,1,0.10380169
P_26155,W_14354,132,0.007049615449058747,0,132,0.00704962,132,0.00704962,132,0.00704962,132,0.00704962,132,0.00704962,132,0.00704962
P_261708,W_15300,12,0.08655896594828845,3,3,0.1159377,1,0.255025,1,0.255025,5,0.10331144,1,0.30363611,1,0.30363611
P_261875,W_114712,91,0.005099089659044559,0,91,0.00509909,91,0.00509909,91,0.00509909,91,0.00509909,91,0.00509909,91,0.00509909
P_261902,W_11471,11,0.025451878313464956,2,14,0.02605667,7,0.03053846,2,0.07280036,14,0.02666941,7,0.03146438,2,0.07280036
P_262014,W_8535,3,0.04094000006936001,1,14,0.0191146,17,0.01806418,17,0.01806418,16,0.01837056,24,0.01663444,25,0.01649556
P_26203,W_2658,4,0.15498851320846507,5,3,0.11374673,1,0.39288534,1,0.39288534,3,0.11579829,1,0.43038534,1,0.43038534
P_262054,W_1276,1,0.8092492139748236,10,2,0.29821269,1,0.62645273,1,0.6232476,1,0.36765714,1,0.82243163,1,0.82243163
P_26212,W_2271,33,0.042815865426494855,0,33,0.04281587,33,0.04281587,33,0.04281587,33,0.04281587,33,0.04281587,33,0.04281587
P_262156,W_161,19,0.009286606949007856,1,1,0.08823398,1,0.08823398,1,0.08823398,1,0.08823398,1,0.08823398,1,0.08823398
P_262201,W_4865,1,0.12793316269990232,3,5,0.06699341,1,0.15298277,1,0.15298277,6,0.06055221,1,0.15298277,1,0.15298277
P_262210,W_5500,931,0.0015075197549967486,0,931,0.00150752,931,0.00150752,931,0.00150752,931,0.00150752,931,0.00150752,931,0.00150752
P_262215,W_2083,68,0.019337631435441895,0,68,0.01933763,68,0.01933763,68,0.01933763,68,0.01933763,68,0.01933763,68,0.01933763
P_262482,W_6602,2,0.1928001241485974,5,1,0.3486489,1,0.30678281,1,0.30678281,1,0.3486489,1,0.30678281,1,0.30678281
P_262564,W_21352,1,0.13082702008281008,2,14,0.05096591,1,0.20374369,1,0.20374369,14,0.05228866,1,0.20374369,1,0.20374369
P_262600,W_21528,27,0.007531949653128217,1,5,0.0211122,17,0.00934749,19,0.00883149,2,0.0461122,5,0.0211122,5,0.0211122
P_262601,W_13440,2,0.19622724186653007,5,2,0.19537815,1,0.1941832,1,0.23322537,1,0.25926704,1,0.20752191,1,0.2729981
P_262605,W_119158,5,0.08505761511325044,4,1,0.1522371,1,0.14840466,1,0.15437493,1,0.14955853,1,0.15235965,1,0.15727984
P_262606,W_93644,13,0.032329315022608,2,2,0.07075602,1,0.11715753,1,0.11715753,3,0.05835522,1,0.11482653,1,0.11482653
P_262685,W_11833,79,0.005138019094934377,0,79,0.00513802,79,0.00513802,79,0.00513802,79,0.00513802,79,0.00513802,79,0.00513802
P_262718,W_19748,31,0.007019747118484069,0,31,0.00701975,31,0.00701975,31,0.00701975,31,0.00701975,31,0.00701975,31,0.00701975
P_262746,W_5655,1423,0.0014733579152732743,0,1423,0.00147336,1423,0.00147336,1423,0.00147336,1423,0.00147336,1423,0.00147336,1423,0.00147336
P_262800,W_53040,544,0.002254055033988868,0,544,0.00225406,544,0.00225406,544,0.00225406,544,0.00225406,544,0.00225406,544,0.00225406
P_26283,W_6753,14,0.05608060891950428,2,1,0.20885839,1,0.20885839,1,0.20885839,1,0.20885839,1,0.20885839,1,0.18108061
P_263006,W_6753,440,0.00250399581355332,0,440,0.002504,440,0.002504,440,0.002504,440,0.002504,440,0.002504,440,0.002504
P_263092,W_9297,103,0.01081198810634629,0,103,0.01081199,103,0.01081199,103,0.01081199,103,0.01081199,103,0.01081199,103,0.01081199
P_263210,W_4922,1,0.5000830893511179,7,7,0.15826846,2,0.1993088,2,0.1993088,8,0.15492851,4,0.20508922,4,0.20508922
P_263217,W_10838,4175,0.0009602973194335595,0,4175,0.0009603,4175,0.0009603,4175,0.0009603,4175,0.0009603,4175,0.0009603,4175,0.0009603
P_263293,W_5071,3,0.28869437143771476,7,7,0.16657779,1,0.29111879,1,0.29111879,7,0.16773721,1,0.33571916,1,0.33571916
P_26332,W_2454,9,0.045188505779711056,2,9,0.04210209,12,0.04287369,13,0.04185217,9,0.04210209,17,0.04083121,17,0.04083121
P_26334,W_2454,8,0.052692249964099935,1,30,0.04505336,17,0.04717754,17,0.04717754,30,0.04505336,9,0.05153484,9,0.05153484
P_26335,W_2454,2,0.07672143981909384,3,3,0.10128978,6,0.06710869,7,0.06280974,1,0.1389882,1,0.16898598,1,0.16898598
P_26336,W_19508,358,0.002836245933189827,0,358,0.00283625,358,0.00283625,358,0.00283625,358,0.00283625,358,0.00283625,358,0.00283625
P_263502,W_115251,56,0.010880247662186626,0,56,0.01088025,56,0.01088025,56,0.01088025,56,0.01088025,56,0.01088025,56,0.01088025
P_263564,W_122815,29,0.009260317145293073,1,3,0.03416453,11,0.01396251,11,0.01396251,9,0.01564601,18,0.01101638,21,0.01035501
P_263572,W_103129,452,0.0015854750084511617,0,452,0.00158548,452,0.00158548,452,0.00158548,452,0.00158548,452,0.00158548,452,0.00158548
P_263668,W_12317,4,0.03736052528485267,1,21,0.02049545,12,0.02347164,12,0.02347164,17,0.02142915,11,0.02410295,11,0.02410295
P_26374,W_17671,2,0.08439297086669488,3,24,0.02483101,1,0.25568927,1,0.25568927,24,0.02508742,1,0.25568927,1,0.25568927
P_263986,W_7816,63,0.00908345154620356,0,63,0.00908345,63,0.00908345,63,0.00908345,63,0.00908345,63,0.00908345,63,0.00908345
P_264006,W_7878,7,0.046711016797803796,3,1,0.12795339,1,0.20911181,1,0.20911181,1,0.11604862,1,0.17190943,1,0.16744514
P_264037,W_103129,54,0.006375409440403184,0,54,0.00637541,54,0.00637541,54,0.00637541,54,0.00637541,54,0.00637541,54,0.00637541
P_264149,W_22154,203,0.00617240169918087,0,203,0.0061724,203,0.0061724,203,0.0061724,203,0.0061724,203,0.0061724,203,0.0061724
P_264176,W_11850,41,0.009302101130452442,0,41,0.0093021,41,0.0093021,41,0.0093021,41,0.0093021,41,0.0093021,41,0.0093021
P_264199,W_114947,12,0.01921631900660566,1,7,0.02417664,2,0.05393854,2,0.05393854,5,0.02893854,3,0.04004965,2,0.05393854
P_264332,W_12137,54,0.006352072392756169,0,54,0.00635207,54,0.00635207,54,0.00635207,54,0.00635207,54,0.00635207,54,0.00635207
P_264458,W_26,70,0.009734003312143589,0,70,0.009734,70,0.009734,70,0.009734,70,0.009734,70,0.009734,70,0.009734
P_26461,W_26461,14,0.01121669108185032,1,15,0.01081987,5,0.02193098,6,0.0191532,16,0.01047264,8,0.01568098,8,0.01568098
P_264676,W_13691,50,0.010600102725678663,0,50,0.0106001,50,0.0106001,50,0.0106001,50,0.0106001,50,0.0106001,50,0.0106001
P_264785,W_129436,624,0.0023282560346575363,0,624,0.00232826,624,0.00232826,624,0.00232826,624,0.00232826,624,0.00232826,624,0.00232826
P_264816,W_233,2,0.17390754056568403,5,1,0.28780194,1,0.44177019,1,0.44177019,1,0.28780194,1,0.48224639,1,0.48224639
P_264967,W_27913,746,0.001955471355333592,0,746,0.00195547,746,0.00195547,746,0.00195547,746,0.00195547,746,0.00195547,746,0.00195547
P_264987,W_27913,336,0.003170388842225079,0,336,0.00317039,336,0.00317039,336,0.00317039,336,0.00317039,336,0.00317039,336,0.00317039
P_265281,W_3177,2,0.07710002142241541,3,4,0.05022273,1,0.1841513,1,0.1841513,3,0.05716718,1,0.2591513,1,0.2591513
P_265503,W_10144,1,0.6475849003214823,8,7,0.19048983,1,0.6410463,1,0.67596693,7,0.19248495,1,0.6426336,1,0.6926336
P_265508,W_2696,2,0.12623623326412595,6,3,0.12865495,6,0.11341047,6,0.11341047,5,0.1169503,4,0.12345846,4,0.12345846
P_26552,W_26542,49,0.0036260715084502422,0,49,0.00362607,49,0.00362607,49,0.00362607,49,0.00362607,49,0.00362607,49,0.00362607
P_26553,W_26542,4,0.02645915006891503,1,28,0.00860201,4,0.02645915,4,0.02645915,27,0.00871224,1,0.08895915,1,0.08895915
P_265544,W_11534,7,0.07818262314442824,4,11,0.06253093,5,0.0817748,6,0.08613709,9,0.06361919,1,0.15109715,1,0.17010067
P_265545,W_111906,779,0.001800671559304053,0,779,0.00180067,779,0.00180067,779,0.00180067,779,0.00180067,779,0.00180067,779,0.00180067
P_265555,W_55861,44,0.027636863334559465,0,44,0.02763686,44,0.02763686,44,0.02763686,44,0.02763686,44,0.02763686,44,0.02763686
P_265558,W_87469,27,0.01738394420881878,1,26,0.01750265,2,0.05596419,2,0.05596419,26,0.01750265,1,0.09763086,1,0.09763086
P_265574,W_64766,12,0.014845255666131305,1,19,0.01228678,29,0.01077437,29,0.01077437,25,0.01123414,30,0.01067859,30,0.01067859
P_265611,W_10065,21,0.007414598640173531,1,29,0.00631991,15,0.0090019,18,0.00807597,29,0.00631991,15,0.0090019,16,0.00865468
P_265625,W_1812,1,0.16007964689326096,2,24,0.06555804,9,0.07241862,2,0.1039899,23,0.0652833,12,0.0701038,1,0.14619076
P_265637,W_34907,89,0.006498950907343826,0,89,0.00649895,89,0.00649895,89,0.00649895,89,0.00649895,89,0.00649895,89,0.00649895
P_265638,W_112241,19,0.01140171618329973,1,27,0.01010217,5,0.02368242,5,0.02368242,27,0.01010217,6,0.02090464,6,0.02090464
P_265642,W_7878,17,0.021229770424889854,2,5,0.0325366,1,0.13491755,1,0.13491755,3,0.04364771,1,0.17658422,1,0.17658422
P_265765,W_11798,8,0.02151405087715567,1,3,0.03887516,1,0.09443072,1,0.09443072,2,0.05276405,1,0.09443072,1,0.09443072
P_265808,W_93644,930,0.0017635397291745096,0,930,0.00176354,930,0.00176354,930,0.00176354,930,0.00176354,930,0.00176354,930,0.00176354
P_265813,W_1939,13,0.020382736996716656,1,19,0.01835845,11,0.02154824,11,0.02154824,19,0.01835845,10,0.02230581,10,0.02230581
P_2659,W_2658,8,0.05208324840856863,3,2,0.1112433,1,0.2612433,1,0.2612433,2,0.11640203,1,0.2612433,1,0.2612433
P_265916,W_42117,1,0.11160985689387726,2,2,0.07783793,11,0.03688427,11,0.03688427,2,0.07783793,12,0.03625296,12,0.03625296
P_265918,W_3061,1,0.16969125382464947,3,1,0.25713538,1,0.30921871,1,0.30921871,1,0.26159966,1,0.30921871,1,0.30921871
P_265943,W_19903,1,0.7430335622599501,10,2,0.42249442,1,0.79912635,1,0.84089824,1,0.47623472,1,0.80594453,1,0.85478713
P_265944,W_5071,1,0.5366022752558968,8,1,0.33873027,2,0.38595894,2,0.38595894,1,0.33484336,1,0.50452556,1,0.50452556
P_265949,W_120968,4,0.0727559647261605,3,14,0.04336331,5,0.06971364,5,0.06971364,14,0.04447013,6,0.05919776,6,0.05865664
P_265988,W_124199,152,0.0036211785762441987,0,152,0.00362118,152,0.00362118,152,0.00362118,152,0.00362118,152,0.00362118,152,0.00362118
P_266029,W_42521,131,0.004255257577874305,0,131,0.00425526,131,0.00425526,131,0.00425526,131,0.00425526,131,0.00425526,131,0.00425526
P_266050,W_123334,13,0.025966562140145453,2,7,0.02886198,3,0.05245104,3,0.05245104,6,0.03108352,1,0.10926922,1,0.1080066
P_266122,W_2393,37,0.006014055635717226,0,37,0.00601406,37,0.00601406,37,0.00601406,37,0.00601406,37,0.00601406,37,0.00601406
P_266139,W_3447,13,0.04030136422768813,2,14,0.03746254,10,0.03984349,9,0.04098987,14,0.03725728,8,0.04192682,6,0.0456195
P_266181,W_26111,109,0.009812100472043698,0,109,0.0098121,109,0.0098121,109,0.0098121,109,0.0098121,109,0.0098121,109,0.0098121
P_26629,W_6616,4,0.09968192834951482,3,1,0.29583994,1,0.29583994,1,0.29583994,1,0.29583994,1,0.2750066,1,0.2750066
P_266299,W_954,4,0.12288734379415406,4,1,0.30369542,1,0.28702876,1,0.28702876,1,0.29972717,1,0.28702876,1,0.28702876
P_266310,W_6784,1,0.21839920103870022,3,14,0.06924364,1,0.16631587,1,0.16400105,15,0.06941111,1,0.18992698,1,0.18992698
P_266326,W_1033,288,0.0014323793537531955,0,288,0.00143238,288,0.00143238,288,0.00143238,288,0.00143238,288,0.00143238,288,0.00143238
P_26640,W_11898,54,0.002695852275951772,0,54,0.00269585,54,0.00269585,54,0.00269585,54,0.00269585,54,0.00269585,54,0.00269585
P_266501,W_109122,143,0.005494351743411393,0,143,0.00549435,143,0.00549435,143,0.00549435,143,0.00549435,143,0.00549435,143,0.00549435
P_266510,W_424,4149,0.0007420411059571233,0,4149,0.00074204,4149,0.00074204,4149,0.00074204,4149,0.00074204,4149,0.00074204,4149,0.00074204
P_266512,W_1454,1164,0.002569551920108012,0,1164,0.00256955,1164,0.00256955,1164,0.00256955,1164,0.00256955,1164,0.00256955,1164,0.00256955
P_266515,W_5954,302,0.00472137549897078,0,302,0.00472138,302,0.00472138,302,0.00472138,302,0.00472138,302,0.00472138,302,0.00472138
P_266518,W_22926,98,0.009193879124999967,0,98,0.00919388,98,0.00919388,98,0.00919388,98,0.00919388,98,0.00919388,98,0.00919388
P_266519,W_25150,123,0.0020151026565492906,0,123,0.0020151,123,0.0020151,123,0.0020151,123,0.0020151,123,0.0020151,123,0.0020151
P_266543,W_7577,97,0.007939224931556904,0,97,0.00793922,97,0.00793922,97,0.00793922,97,0.00793922,97,0.00793922,97,0.00793922
P_266556,W_1983,1119,0.0010837826418353886,0,1119,0.00108378,1119,0.00108378,1119,0.00108378,1119,0.00108378,1119,0.00108378,1119,0.00108378
P_266599,W_6102,122,0.002984588015473096,0,122,0.00298459,122,0.00298459,122,0.00298459,122,0.00298459,122,0.00298459,122,0.00298459
P_266601,W_1894,1,0.2310361875767228,5,1,0.21081712,1,0.24744511,1,0.24645304,1,0.21129196,1,0.2534516,1,0.25172627
P_266643,W_25030,1,0.4536776527411195,9,1,0.48800747,1,0.70991871,1,0.73294502,1,0.48094876,1,0.72401645,1,0.75470428
P_266682,W_4843,2,0.04779740349288673,1,30,0.00890851,16,0.01133907,16,0.01133907,30,0.00890851,18,0.01076037,19,0.0105167
P_266720,W_3858,1,0.13808570236708376,2,3,0.07684833,2,0.10336348,2,0.10336348,3,0.0755857,1,0.17280792,1,0.17280792
P_266731,W_3270,1,0.08653781212578326,1,6,0.01709337,9,0.01246374,9,0.01246374,7,0.01510924,8,0.01362115,8,0.01362115
P_266733,W_10253,5,0.08869866715716081,3,3,0.11531904,11,0.05959351,8,0.06490856,2,0.12295793,9,0.06166163,4,0.08962459
P_266736,W_3858,10,0.09071616144739196,3,13,0.08616863,2,0.13473672,2,0.13473672,14,0.08571075,4,0.11145029,4,0.11145029
P_266810,W_856,2,0.216477628352613,4,1,0.24516164,1,0.27203318,1,0.27203318,1,0.27293941,1,0.31481818,1,0.31481818
P_266822,W_4854,165,0.00515965882456343,0,165,0.00515966,165,0.00515966,165,0.00515966,165,0.00515966,165,0.00515966,165,0.00515966
P_266829,W_17274,6,0.037201005584191996,2,20,0.02767035,1,0.15664545,1,0.15664545,21,0.02789765,1,0.15664545,1,0.15664545
P_26687,W_26687,2,0.14665228182262904,3,1,0.21075485,1,0.25936596,1,0.25936596,1,0.21075485,1,0.28019929,1,0.28019929
P_26689,W_26687,13,0.021063450747884044,1,6,0.02854208,1,0.09798653,1,0.09798653,6,0.02854208,1,0.09798653,1,0.09798653
P_2669,W_625,25,0.018071771498481354,2,9,0.0270225,16,0.02037248,16,0.02037248,7,0.02922941,10,0.0249004,10,0.0249004
P_26691,W_26687,1,0.28859086043017007,3,3,0.08601013,1,0.24692419,1,0.24692419,3,0.0865042,1,0.28859086,1,0.28859086
P_26693,W_26687,32,0.03307962720737075,0,32,0.03307963,32,0.03307963,32,0.03307963,32,0.03307963,32,0.03307963,32,0.03307963
P_266947,W_6031,1,0.22490632322147242,4,1,0.25351743,1,0.26582513,1,0.26399362,1,0.27551019,1,0.3026841,1,0.29132046
P_266948,W_4698,15,0.015210732418853207,1,24,0.0131274,21,0.01362343,17,0.01455714,21,0.01362343,23,0.01327837,22,0.01344306
P_266952,W_19943,21,0.007709477880582384,1,1,0.08707456,8,0.01415789,9,0.01300048,1,0.08707456,8,0.01415789,8,0.01415789
P_266956,W_119158,1,0.10993501775127108,1,13,0.03301194,4,0.04743502,4,0.04743502,14,0.03255407,5,0.04326835,5,0.04326835
P_266958,W_20110,84,0.007220328467587747,0,84,0.00722033,84,0.00722033,84,0.00722033,84,0.00722033,84,0.00722033,84,0.00722033
P_266993,W_15521,12,0.043126529130288804,1,30,0.03895986,1,0.11951542,1,0.11951542,30,0.03895986,1,0.11951542,1,0.11951542
P_266996,W_1650,1,0.4265461849296474,7,1,0.41445161,1,0.51240862,1,0.51240862,1,0.41712255,1,0.57869013,1,0.57869013
P_267009,W_40199,60,0.0232057264510545,0,60,0.02320573,60,0.02320573,60,0.02320573,60,0.02320573,60,0.02320573,60,0.02320573
P_267039,W_5162,358,0.0031214724403865594,0,358,0.00312147,358,0.00312147,358,0.00312147,358,0.00312147,358,0.00312147,358,0.00312147
P_267040,W_12168,63,0.00388721692981852,0,63,0.00388722,63,0.00388722,63,0.00388722,63,0.00388722,63,0.00388722,63,0.00388722
P_267059,W_34791,3661,0.0004951896224515536,0,3661,0.00049519,3661,0.00049519,3661,0.00049519,3661,0.00049519,3661,0.00049519,3661,0.00049519
P_267077,W_5363,28,0.01352667856979225,1,1,0.09388382,1,0.09388382,1,0.09388382,1,0.09388382,1,0.09388382,1,0.09388382
P_267300,W_86795,647,0.003360455744882491,0,647,0.00336046,647,0.00336046,647,0.00336046,647,0.00336046,647,0.00336046,647,0.00336046
P_267332,W_30678,933,0.001281860724575829,0,933,0.00128186,933,0.00128186,933,0.00128186,933,0.00128186,933,0.00128186,933,0.00128186
P_267631,W_9004,1,0.5152703868756984,6,1,0.2264022,1,0.49106404,1,0.49939737,1,0.23473554,1,0.48550848,1,0.49106404
P_267873,W_5687,1,0.5287671810451617,8,1,0.67261639,1,0.60437967,1,0.59928305,1,0.65409787,1,0.64604634,1,0.64604634
P_267886,W_118399,51,0.005502363609806455,0,51,0.00550236,51,0.00550236,51,0.00550236,51,0.00550236,51,0.00550236,51,0.00550236
P_268032,W_1276,1,0.604329664741564,9,1,0.50549257,1,0.54978121,1,0.54379831,1,0.52285368,1,0.69579719,1,0.69579719
P_268220,W_175,400,0.0010880914440684582,0,400,0.00108809,400,0.00108809,400,0.00108809,400,0.00108809,400,0.00108809,400,0.00108809
P_268361,W_70887,38,0.004435724306511057,0,38,0.00443572,38,0.00443572,38,0.00443572,38,0.00443572,38,0.00443572,38,0.00443572
P_268366,W_70887,47,0.005580159606708094,0,47,0.00558016,47,0.00558016,47,0.00558016,47,0.00558016,47,0.00558016,47,0.00558016
P_26837,W_11649,110,0.004880838017504691,0,110,0.00488084,110,0.00488084,110,0.00488084,110,0.00488084,110,0.00488084,110,0.00488084
P_26838,W_4916,9,0.016361796411270186,1,13,0.01351279,15,0.01265809,17,0.0120045,8,0.0175192,3,0.03488031,3,0.03488031
P_26839,W_26839,547,0.0018697857227067457,0,547,0.00186979,547,0.00186979,547,0.00186979,547,0.00186979,547,0.00186979,547,0.00186979
P_26840,W_26839,322,0.0018285439240909556,0,322,0.00182854,322,0.00182854,322,0.00182854,322,0.00182854,322,0.00182854,322,0.00182854
P_268407,W_401,5,0.11613619731412601,6,5,0.14091389,1,0.31429571,1,0.31429571,6,0.13198242,1,0.30924058,1,0.30750447
P_26842,W_26839,15,0.019995850203518347,1,18,0.01906992,14,0.02039268,2,0.05610696,18,0.01906992,13,0.02085055,1,0.09777363
P_268563,W_7552,6,0.11780086520754039,4,1,0.24126001,1,0.22996416,1,0.22996416,1,0.24348506,1,0.34107528,1,0.34107528
P_268572,W_31003,275,0.006933742877998441,0,275,0.00693374,275,0.00693374,275,0.00693374,275,0.00693374,275,0.00693374,275,0.00693374
P_268600,W_11054,3,0.1180588041648883,4,1,0.22779629,7,0.07938874,7,0.07824351,1,0.30438359,5,0.11857912,5,0.11857912
P_26862,W_19417,18,0.011116866018335739,1,13,0.01289749,27,0.00957366,26,0.00969236,13,0.01289749,24,0.00995946,24,0.00995946
P_268760,W_4217,21,0.0123198588182476,1,26,0.01155673,25,0.01168494,25,0.01168494,27,0.01143802,22,0.01213948,22,0.01213948
P_268761,W_4217,113,0.0048197896350669605,0,113,0.00481979,113,0.00481979,113,0.00481979,113,0.00481979,113,0.00481979,113,0.00481979
P_268928,W_5294,30,0.01205348775139427,1,9,0.01853497,5,0.02594238,5,0.02594238,13,0.01568597,6,0.0231646,7,0.02118047
P_268935,W_43997,39,0.0034984584328484544,0,39,0.00349846,39,0.00349846,39,0.00349846,39,0.00349846,39,0.00349846,39,0.00349846
P_269006,W_116565,24,0.017547190642403298,1,9,0.02333423,15,0.01963052,16,0.0192833,9,0.02333423,13,0.02048522,14,0.02002735
P_26921,W_11485,1,0.793932850918145,11,1,0.36846015,1,0.88492635,1,0.88492635,1,0.37351065,1,0.90749406,1,0.90749406
P_269222,W_12140,93,0.004728855807954428,0,93,0.00472886,93,0.00472886,93,0.00472886,93,0.00472886,93,0.00472886,93,0.00472886
P_269229,W_12140,16,0.01624332285647529,1,3,0.03881277,13,0.01744525,12,0.01797943,3,0.03881277,15,0.01659055,8,0.02145166
P_26924,W_94,5,0.12045721003309291,3,1,0.13842534,1,0.29029848,1,0.29029848,1,0.13842534,1,0.29029848,1,0.29029848
P_269255,W_5294,16,0.01720425082054744,1,19,0.01638188,28,0.01497211,29,0.01486948,22,0.0157838,30,0.0147737,30,0.0147737
P_269272,W_30235,64,0.007361662930058085,0,64,0.00736166,64,0.00736166,64,0.00736166,64,0.00736166,64,0.00736166,64,0.00736166
P_269273,W_28184,6,0.01840606997564261,1,4,0.02535051,15,0.01007274,15,0.01007274,4,0.02535051,12,0.01146163,12,0.01146163
P_269274,W_70931,1,0.09017251348206486,1,1,0.09017251,1,0.09017251,1,0.09017251,1,0.09017251,1,0.09017251,1,0.09017251
P_269275,W_9263,1,0.09003812864962303,1,1,0.09003813,1,0.09003813,1,0.09003813,1,0.09003813,1,0.09003813,1,0.09003813
P_269278,W_9266,15,0.03160113382144782,1,2,0.06771224,2,0.06771224,2,0.06771224,1,0.10937891,1,0.10937891,1,0.10937891
P_269280,W_38171,5,0.051377656316314906,2,13,0.03687288,23,0.03494051,11,0.03942727,12,0.03759864,17,0.03576141,2,0.0784785
P_269316,W_10781,137,0.005233967234467767,0,137,0.00523397,137,0.00523397,137,0.00523397,137,0.00523397,137,0.00523397,137,0.00523397
P_269317,W_4801,12,0.015636493917699182,1,10,0.01702538,21,0.0126603,22,0.01247993,8,0.01910872,20,0.01285872,20,0.01285872
P_269319,W_65049,121,0.006589163180163104,0,121,0.00658916,121,0.00658916,121,0.00658916,121,0.00658916,121,0.00658916,121,0.00658916
P_269321,W_117450,155,0.007415413944864325,0,155,0.00741541,155,0.00741541,155,0.00741541,155,0.00741541,155,0.00741541,155,0.00741541
P_269326,W_19353,112,0.002384935615463343,0,112,0.00238494,112,0.00238494,112,0.00238494,112,0.00238494,112,0.00238494,112,0.00238494
P_269329,W_9262,75,0.008913309904406272,0,75,0.00891331,75,0.00891331,75,0.00891331,75,0.00891331,75,0.00891331,75,0.00891331
P_26934,W_1894,1,0.5062205824511331,9,1,0.32615465,1,0.45115193,1,0.45115193,1,0.3778468,1,0.62720589,1,0.62720589
P_26935,W_15385,1,0.212566566107854,3,7,0.08440723,1,0.27666913,1,0.27666913,7,0.08440723,1,0.27666913,1,0.27666913
P_26939,W_26939,28,0.006700141916270638,1,9,0.01298321,1,0.08705728,1,0.08705728,7,0.01562871,1,0.08705728,1,0.08705728
P_269391,W_886,64,0.010228934771695975,0,64,0.01022893,64,0.01022893,64,0.01022893,64,0.01022893,64,0.01022893,64,0.01022893
P_26941,W_26941,1,0.3913894505702491,5,1,0.24826227,1,0.39138945,1,0.39138945,1,0.24820824,1,0.41874635,1,0.41874635
P_269415,W_99743,20,0.010820942289824872,1,24,0.0101265,29,0.00952784,28,0.00963047,20,0.01082094,27,0.0097407,25,0.00998761
P_269419,W_9724,237,0.0014072927503263235,0,237,0.00140729,237,0.00140729,237,0.00140729,237,0.00140729,237,0.00140729,237,0.00140729
P_269430,W_132426,605,0.0024010015333094815,0,605,0.002401,605,0.002401,605,0.002401,605,0.002401,605,0.002401,605,0.002401
P_269438,W_64651,137,0.004579446958909903,0,137,0.00457945,137,0.00457945,137,0.00457945,137,0.00457945,137,0.00457945,137,0.00457945
P_269472,W_99743,154,0.003161641393054189,0,154,0.00316164,154,0.00316164,154,0.00316164,154,0.00316164,154,0.00316164,154,0.00316164
P_269473,W_9724,78,0.01262558199061505,0,78,0.01262558,78,0.01262558,78,0.01262558,78,0.01262558,78,0.01262558,78,0.01262558
P_269496,W_117403,115,0.007922313460782395,0,115,0.00792231,115,0.00792231,115,0.00792231,115,0.00792231,115,0.00792231,115,0.00792231
P_269505,W_31360,19,0.01984950103265558,1,23,0.01908672,1,0.09879687,1,0.09879687,25,0.01879687,1,0.09879687,1,0.09879687
P_269510,W_31360,32,0.013679357039519896,0,32,0.01367936,32,0.01367936,32,0.01367936,32,0.01367936,32,0.01367936,32,0.01367936
P_269511,W_64651,14,0.016136117916289085,1,17,0.0150857,12,0.01712818,11,0.01775949,21,0.01415199,15,0.01573929,11,0.01775949
P_269514,W_31360,10,0.022598439168100646,1,25,0.01759844,1,0.09759844,1,0.09759844,26,0.01747023,1,0.09759844,1,0.09759844
P_269528,W_14620,47,0.010513051617925713,0,47,0.01051305,47,0.01051305,47,0.01051305,47,0.01051305,47,0.01051305,47,0.01051305
P_269549,W_78838,3,0.053243409510246094,2,7,0.03938328,1,0.18488592,1,0.18488592,6,0.04044148,1,0.18488592,1,0.18488592
P_269553,W_19558,12,0.038767123112830475,2,1,0.10808263,1,0.18566883,1,0.18566883,1,0.10808263,1,0.18566883,1,0.18566883
P_269555,W_5095,7,0.03737280704262937,3,1,0.18816646,1,0.21197598,1,0.21197598,1,0.18762533,1,0.19709503,1,0.19709503
P_269562,W_9724,36,0.01128266111280423,0,36,0.01128266,36,0.01128266,36,0.01128266,36,0.01128266,36,0.01128266,36,0.01128266
P_269576,W_132426,11,0.014918229090180535,1,24,0.01081469,1,0.0906758,1,0.0906758,24,0.01081469,1,0.0906758,1,0.0906758
P_2696,W_2696,1,0.16267841567905467,4,19,0.06230343,1,0.17724549,1,0.17724549,19,0.0623549,3,0.12294412,3,0.12294412
P_269647,W_121504,1,0.1642814148191303,5,1,0.25679417,1,0.21625415,1,0.21625415,1,0.22991826,1,0.2504633,1,0.2504633
P_269649,W_1443,1,0.5056364042546663,8,1,0.40009183,1,0.54595945,1,0.54224496,1,0.39871947,1,0.55234597,1,0.54866007
P_269652,W_5095,9,0.08800039848933915,5,1,0.36943668,1,0.37909851,1,0.37909851,1,0.36734638,1,0.37583054,1,0.37325056
P_269677,W_4835,7,0.04561028005414003,2,6,0.04442412,7,0.04074917,7,0.04136645,6,0.04384441,7,0.04074917,7,0.04213806
P_269690,W_47901,2,0.09863643238228038,2,9,0.04956236,1,0.11490627,1,0.1153031,5,0.06808088,1,0.1153031,1,0.12212128
P_2697,W_2696,25,0.0422170550098685,2,2,0.08055039,13,0.04953781,13,0.04953781,2,0.08055039,18,0.04611244,18,0.04611244
