candidate_pid,kocc10,hub_reference
P_108150,7,0.867500
P_108182,7,0.848563
P_108218,3,0.839707
P_108237,12,0.860818
P_108259,9,0.875231
P_108282,10,0.838058
P_108286,8,0.860558
P_108327,3,0.856351
P_108364,9,0.873704
P_108372,4,0.865399
P_108376,4,0.893415
P_10838,12,0.894720
P_108434,9,0.851789
P_108449,15,0.876395
P_108458,9,0.873569
P_10846,15,0.860520
P_108465,10,0.876945
P_108473,10,0.867315
P_108475,11,0.876695
P_10848,15,0.879773
P_10849,3,0.878601
P_108509,8,0.893253
P_108518,8,0.817892
P_108526,8,0.852909
P_108548,7,0.866455
P_108588,0,0.894592
P_108686,9,0.850382
P_108687,6,0.854400
P_108690,18,0.827686
P_108692,12,0.829821
P_108693,7,0.876636
P_108694,23,0.855291
P_108697,28,0.858926
P_108698,26,0.861842
P_108700,12,0.869622
P_108752,10,0.842889
P_10886,2,0.853489
P_108867,10,0.891784
P_108939,6,0.869186
P_108951,13,0.852170
P_10901,31,0.867280
P_10902,13,0.857202
P_10905,6,0.837432
P_10907,8,0.856245
P_109089,15,0.878531
P_109122,4,0.839953
P_109124,6,0.848737
P_10913,7,0.860846
P_109138,3,0.840430
P_10914,13,0.854556
P_109217,13,0.879955
P_10932,8,0.900196
P_109324,7,0.898440
P_109377,9,0.884898
P_109386,12,0.882786
P_109435,9,0.843460
P_109440,10,0.880449
P_109597,3,0.858635
P_10963,10,0.876698
P_10964,7,0.885974
P_109642,7,0.879055
P_109643,11,0.887136
P_109644,3,0.879794
P_109646,5,0.876510
P_109985,9,0.881159
P_110044,2,0.881499
P_11006,5,0.871481
P_110106,6,0.881270
P_110123,15,0.864372
P_110124,19,0.855224
P_110128,11,0.840952
P_110134,3,0.848875
P_11014,5,0.859456
P_110161,5,0.859044
P_110170,2,0.871392
P_110236,12,0.872206
P_110254,10,0.865296
P_110279,20,0.840958
P_110345,6,0.873374
P_110384,8,0.850981
P_110437,15,0.871985
P_11045,9,0.872748
P_11048,13,0.850945
P_11051,9,0.879210
P_11054,7,0.880738
P_110549,9,0.884738
P_11067,5,0.896510
P_110726,12,0.841836
P_110727,10,0.865085
P_110791,10,0.875500
P_1108,6,0.880503
P_1109,11,0.852662
P_110919,6,0.866219
P_110932,8,0.846173
P_110956,6,0.873347
P_11096,2,0.893791
P_110964,7,0.876196
P_110965,16,0.869046
P_111009,18,0.851599
P_111106,5,0.864360
P_111108,10,0.861397
P_111226,12,0.837505
P_111338,18,0.834548
P_111341,2,0.853578
P_111343,21,0.834731
P_11143,10,0.894783
P_111432,10,0.896121
P_111607,9,0.878001
P_111666,13,0.884075
P_111674,4,0.874830
P_111734,19,0.866045
P_111747,2,0.886161
P_111763,3,0.873665
P_111787,8,0.854204
P_111822,8,0.874042
P_111909,12,0.815473
P_111932,37,0.830352
P_111944,14,0.844189
P_11197,15,0.852592
P_112043,4,0.833315
P_112044,11,0.815047
P_11215,17,0.864033
P_11221,9,0.876279
P_112288,12,0.777830
P_112319,2,0.886899
P_11235,12,0.872550
P_112416,10,0.868692
P_11242,9,0.883708
P_11243,9,0.862901
P_11246,11,0.880543
P_112482,7,0.851291
P_11249,20,0.876305
P_112523,7,0.849011
P_112559,7,0.883439
P_112560,2,0.868177
P_112580,13,0.884501
P_112613,3,0.893361
P_112686,20,0.838305
P_11275,9,0.876202
P_112944,14,0.843006
P_113059,7,0.863802
P_113175,13,0.835723
P_113226,7,0.863212
P_113253,9,0.867434
P_11333,14,0.850431
P_11334,8,0.841119
P_113409,11,0.873672
P_113472,10,0.853401
P_113534,13,0.832345
P_11358,19,0.837512
P_113609,5,0.904830
P_11365,2,0.877615
P_11366,6,0.880912
P_113701,19,0.838549
P_113702,15,0.845613
P_113703,8,0.836368
P_113704,5,0.784467
P_113713,7,0.820398
P_113724,6,0.887817
P_113964,8,0.871947
P_113966,11,0.863075
P_113976,11,0.890884
P_114054,17,0.853586
P_114055,10,0.853236
P_114056,14,0.863626
P_114057,12,0.847731
P_114060,3,0.886406
P_114061,5,0.852087
