top1,top2,margin_1_2,margin_1_10,mean_top10,std_top10,mean_top100,entropy_top100,row_mean,row_std,z_top1,query_pid,query_wid,query_kocc10,top1_kocc10,top1_hub_reference
0.943350076675415,0.9389232993125916,0.004426777362823486,0.033565402030944824,0.9204923033714294,0.011061946198405479,0.8491561913490295,4.290239138321396,0.14463992918966595,0.2478075869862264,3.223106109043061,P_100,W_100,15,18,0.8420532011985778
0.9194985628128052,0.8969092965126038,0.022589266300201416,0.0631328821182251,0.8763677775859833,0.019879928411237053,0.8130104470252991,4.346449712864959,0.2419198458483149,0.22370875852008335,3.0288430432670435,P_1002,W_1002,6,9,0.8943498796224594
0.8659397959709167,0.8652415871620178,0.0006982088088989258,0.0156136155128479,0.8579742789268494,0.0058422502125036364,0.7954913204908372,4.35131774003749,0.014912753341213393,0.28682489073388706,2.967061332959104,P_100518,W_5549,3,12,0.9030771881341935
0.9414249658584595,0.9333560466766357,0.00806891918182373,0.018678903579711914,0.9304021954536438,0.004869301249669418,0.9036232793331146,4.566213058668828,0.4369199472792918,0.30607610588039,1.6482992591871006,P_10081,W_48,4,14,0.8537928611040115
0.9594982862472534,0.9553396105766296,0.004158675670623779,0.017802059650421143,0.9481711626052857,0.005236330688758055,0.9250609505176545,4.578480876673656,0.4662035352018192,0.302756927099249,1.6293425744874677,P_101001,W_101001,11,22,0.8620179682970047
0.9415337443351746,0.9407473802566528,0.0007863640785217285,0.02877408266067505,0.9266772985458374,0.010312172115050198,0.864737993478775,4.385441715904368,0.1653764707074379,0.2609323947380759,2.974553138194548,P_101081,W_5071,9,5,0.9039516487717628
0.9518150091171265,0.9139206409454346,0.037894368171691895,0.08867990970611572,0.8834073543548584,0.027063604652850938,0.78005053460598,3.828062119009261,0.17298188375727488,0.20916434539557088,3.7235463046209025,P_10129,W_10129,10,16,0.8746054941415786
0.9537582397460938,0.952411413192749,0.0013468265533447266,0.037893831729888916,0.9358313858509064,0.011686500594082279,0.8624331027269363,4.2964739679752855,0.14911883016679256,0.244642116569223,3.2890469591254314,P_101399,W_55442,15,14,0.889095026254654
0.9566706418991089,0.9553306102752686,0.001340031623840332,0.04749596118927002,0.9292910099029541,0.01478168748745999,0.8735667908191681,4.419025177021137,0.22410475599888235,0.2522937569529551,2.903622724338453,P_101400,W_103,4,13,0.8657829704880714
0.9691607356071472,0.9676412343978882,0.0015195012092590332,0.020108044147491455,0.9582363724708557,0.006937079587831187,0.9314588779211044,4.566449109164933,0.3780192480118397,0.348703527350383,1.6952552561925296,P_101419,W_10212,23,14,0.8452294310927391
0.9582521319389343,0.9565190076828003,0.0017331242561340332,0.06252580881118774,0.9260380148887635,0.022197923169473856,0.7933203077316284,3.582906938339083,0.10278973633920062,0.24318793700193816,3.5177007796624307,P_10144,W_10144,12,10,0.8587326702475547
0.9722124338150024,0.9718817472457886,0.0003306865692138672,0.015520691871643066,0.9636098682880402,0.005231682035911695,0.9442514961957932,4.586846765145608,0.43411330124636666,0.3592030664787912,1.498036021357043,P_101442,W_63854,15,19,0.8723334378004074
0.9396237134933472,0.9208770394325256,0.018746674060821533,0.0821303129196167,0.8895554661750793,0.023744871564931144,0.7986315250396728,4.052487750750607,0.11630375543455583,0.25184139363187963,3.2692002938126263,P_101515,W_2393,8,6,0.8938613098859787
0.9271831512451172,0.908348560333252,0.018834590911865234,0.05407893657684326,0.8997390925884247,0.01699081156973258,0.8019591295719146,4.041267047938147,0.14738209711360775,0.2328346563778474,3.3491623036679217,P_101520,W_3162,10,9,0.8832428726553917
0.9234302043914795,0.8943166732788086,0.0291135311126709,0.09200334548950195,0.8647052109241485,0.025321369822589975,0.7735214334726334,4.018079668560279,0.169396438096907,0.22050435551494293,3.419586722131909,P_101529,W_10788,5,2,0.8850596565008163
0.8722515106201172,0.8574670553207397,0.014784455299377441,0.04374539852142334,0.8477516949176789,0.011412154301927283,0.772388328909874,4.2879821855319165,0.21657432714778702,0.25325496251020846,2.589000337726103,P_101533,W_15519,5,2,0.8748779952526092
0.9201314449310303,0.8960104584693909,0.024120986461639404,0.041467249393463135,0.8886679589748383,0.011511265160039265,0.8436913853883743,4.479994154392966,0.4181730902426629,0.22321966526421658,2.2487192339974604,P_101534,W_3177,4,8,0.8919616267085075
0.9559636116027832,0.9529909491539001,0.0029726624488830566,0.025132298469543457,0.9413270771503448,0.008874992659537027,0.907614414691925,4.539657806390125,0.36545964663820546,0.2917738234891862,2.0238414738546258,P_101536,W_22451,24,13,0.8772665494680405
0.9283233880996704,0.9168152809143066,0.01150810718536377,0.03669196367263794,0.9087968289852142,0.010881777296831513,0.8118524116277694,4.063604852208349,0.17427822731798104,0.23063654016853935,3.2694089159826794,P_1017,W_1017,9,15,0.903718703687191
0.9596372842788696,0.9549709558486938,0.004666328430175781,0.013188958168029785,0.9507115066051484,0.0037751683305137103,0.9365039944648743,4.594670161766192,0.4320637739402065,0.3491477640411316,1.5110321894400016,P_101853,W_28493,2,25,0.8619837185740471
0.9299634695053101,0.9113249778747559,0.0186384916305542,0.0676565170288086,0.8896379351615906,0.022335600510884256,0.7940158599615097,4.012246240347757,0.16884651673246656,0.22505568544865467,3.381905021648994,P_102024,W_2673,6,9,0.8801272770762444
0.8527028560638428,0.8440678715705872,0.008634984493255615,0.057450711727142334,0.8234587490558625,0.01959969224628499,0.7337940645217895,4.109312931955408,0.07161008813847816,0.23393623296048557,3.3389131646569727,P_102104,W_6676,4,4,0.8913703793287278
0.9545751810073853,0.9540982246398926,0.0004769563674926758,0.030011534690856934,0.9340055286884308,0.011203876907807461,0.9012162536382675,4.5423915436737925,0.38147772193151136,0.3048061687149146,1.880202954849028,P_10212,W_10212,10,15,0.8424078512191773
0.9675992727279663,0.9658574461936951,0.0017418265342712402,0.013231754302978516,0.9604397118091583,0.0046116082767404054,0.9440233778953552,4.591684216729941,0.42218926023510567,0.3298372679111299,1.6535730360165377,P_10216,W_10216,3,27,0.8680374583601952
0.8675327301025391,0.8644489645957947,0.0030837655067443848,0.018051743507385254,0.858406400680542,0.006440222215740287,0.8170691436529159,4.505214087199871,0.3534983745150847,0.2332329632621016,2.2039524276317275,P_102166,W_2976,1,1,0.8943169555068016
0.9343091249465942,0.9266319274902344,0.007677197456359863,0.021347761154174805,0.9214843869209289,0.006169542085009955,0.8690155267715454,4.438651041725999,0.21324437131284651,0.23869766985071117,3.0208286242664326,P_102167,W_2974,7,9,0.8851342898607254
0.9204446077346802,0.9135462045669556,0.006898403167724609,0.030828773975372314,0.9033623337745667,0.008978679631022925,0.8495932918787003,4.426115156786146,0.2808683711288882,0.24110265885993495,2.6527133281209134,P_102171,W_100,17,14,0.8264713314175606
0.941386342048645,0.9376335740089417,0.003752768039703369,0.035088300704956055,0.9231681644916534,0.011453844345377303,0.8766236793994904,4.4780243126623125,0.30456752243176677,0.2805724106166123,2.269712899479588,P_102273,W_7495,12,12,0.863162479698658
0.920540452003479,0.8356111645698547,0.08492928743362427,0.11922109127044678,0.8253429472446442,0.033533775197910794,0.741606411933899,3.863561964713786,0.11518650622476787,0.22176593498592834,3.6315493893423327,P_10229,W_167,2,6,0.8515070706605912
0.9483940601348877,0.9305734634399414,0.01782059669494629,0.04104757308959961,0.920807546377182,0.012844500407882988,0.8616710788011551,4.409387535376966,0.38277168435409564,0.24997192281483435,2.262743629001533,P_102343,W_40034,13,4,0.8765456810593605
0.9723606705665588,0.9581550359725952,0.014205634593963623,0.09083253145217896,0.9210555791854859,0.0295002641508828,0.8236941534280777,3.926262328913226,0.2612311399218884,0.27522528680080677,2.5838088458665642,P_10237,W_10237,12,11,0.8684148886799812
0.9311566352844238,0.9057987928390503,0.025357842445373535,0.07918691635131836,0.8810350060462951,0.023810178021851206,0.8067115360498428,4.225441619011283,0.22692387325325192,0.22518743551622786,3.1273181845764877,P_102396,W_31003,6,7,0.8768451112508774
0.9414106607437134,0.9388511776924133,0.002559483051300049,0.04677021503448486,0.9153446316719055,0.017589734045100423,0.8207573127746582,4.05754966187602,0.26303260618003277,0.2503500528222813,2.709718040453295,P_10242,W_10237,12,5,0.8610411238670349
0.9245325326919556,0.9126347303390503,0.011897802352905273,0.043164849281311035,0.8968426406383514,0.013112128179291494,0.8326949739456176,4.349374618134172,0.15833851134116655,0.23517296997723353,3.258002062999435,P_102435,W_9626,10,11,0.8704369783401489
0.9598771333694458,0.9576070308685303,0.0022701025009155273,0.010506272315979004,0.9537784695625305,0.003753360678620252,0.9252976483106613,4.565994848130629,0.3837434990836869,0.33747421446219794,1.7071930523704861,P_102458,W_11817,13,13,0.8554166921973229
0.9362943172454834,0.928405225276947,0.007889091968536377,0.05760335922241211,0.9025508821010589,0.019007864187055943,0.8274127858877182,4.249757822675157,0.2903392373478219,0.24083352335638036,2.682164305419842,P_102471,W_10717,8,9,0.8662996822595597
0.9339103698730469,0.9266153573989868,0.007295012474060059,0.03407794237136841,0.9123441994190216,0.012071035524230068,0.8474943494796753,4.345681644338203,0.2944137871535777,0.2661231203675951,2.4030102376438824,P_102472,W_841,11,16,0.8831588232517242
0.9036486148834229,0.8580784201622009,0.045570194721221924,0.08148396015167236,0.8453871488571167,0.02242789214180973,0.7603423810005188,4.09984923099253,0.04935969789855438,0.2420714576306809,3.5290774275614725,P_102474,W_12992,5,7,0.8930475541949272
0.9193494319915771,0.9004964828491211,0.018852949142456055,0.06184178590774536,0.8803242444992065,0.01796060565258315,0.8067631733417511,4.254970116085549,0.12534967867849997,0.25605546685775815,3.100889674622931,P_10253,W_10253,10,8,0.8806139957904816
0.9715337753295898,0.9672326445579529,0.004301130771636963,0.012480616569519043,0.9633439958095551,0.003552486371233523,0.9481247305870056,4.593935239078962,0.4296304697361601,0.35762437060152674,1.5152862895792847,P_102533,W_27906,5,14,0.8647335311770439
